home_team,away_team,commence_time,total_line,bookmaker,home_starting_qb,away_starting_qb,home_short_rest,away_short_rest
Green Bay Packers,Washington Commanders,2025-09-11 20:18:00-04:00,35.5,DraftKings,J.Love,J.Daniels,1,1
Detroit Lions,Chicago Bears,2025-09-14 13:00:00-04:00,46.5,DraftKings,J.Goff,C.Williams,0,0
Cincinnati Bengals,Jacksonville Jaguars,2025-09-14 13:00:00-04:00,49.5,DraftKings,J.Burrow,T.Lawrence,0,0
Dallas Cowboys,New York Giants,2025-09-14 13:00:00-04:00,44.5,DraftKings,D.Prescott,R.Wilson,0,0
Miami Dolphins,New England Patriots,2025-09-14 13:00:00-04:00,43.5,DraftKings,T.Tagovailoa,D.Maye,0,0
Baltimore Ravens,Cleveland Browns,2025-09-14 13:01:00-04:00,44.5,DraftKings,L.Jackson,J.Flacco,0,0
New York Jets,Buffalo Bills,2025-09-14 13:01:00-04:00,46.5,DraftKings,J.Fields,J.Allen,0,0
Tennessee Titans,Los Angeles Rams,2025-09-14 13:01:00-04:00,41.5,DraftKings,C.Ward,M.Stafford,0,0
New Orleans Saints,San Francisco 49ers,2025-09-14 13:01:00-04:00,40.5,DraftKings,S.Rattler,M.Jones,0,0
Pittsburgh Steelers,Seattle Seahawks,2025-09-14 13:01:00-04:00,39.5,DraftKings,A.Rodgers,S.Darnold,0,0
Arizona Cardinals,Carolina Panthers,2025-09-14 16:05:00-04:00,44.5,DraftKings,K.Murray,B.Young,0,0
Indianapolis Colts,Denver Broncos,2025-09-14 16:06:00-04:00,42.5,DraftKings,D.Jones,B.Nix,0,0
Kansas City Chiefs,Philadelphia Eagles,2025-09-14 16:25:00-04:00,46.5,DraftKings,P.Mahomes,J.Hurts,0,0
Minnesota Vikings,Atlanta Falcons,2025-09-14 20:20:00-04:00,44.5,DraftKings,J.McCarthy,M.Penix,0,0
Houston Texans,Tampa Bay Buccaneers,2025-09-15 19:01:00-04:00,42.5,DraftKings,C.Stroud,B.Mayfield,0,0
Las Vegas Raiders,Los Angeles Chargers,2025-09-15 22:00:00-04:00,46.5,DraftKings,G.Smith,J.Herbert,0,0
