home_team,kickoff_time,temperature,wind_speed,weather_status
Green Bay Packers,2025-09-11 20:18:00+00:00,16.822222222222223,9.0766776,clear sky
Detroit Lions,2025-09-14 13:00:00+00:00,21.1,0.0,indoor/dome
Cincinnati Bengals,2025-09-14 13:00:00+00:00,18.588888888888885,3.4600809999999997,overcast clouds
Dallas Cowboys,2025-09-14 13:00:00+00:00,21.1,0.0,indoor/dome
Miami Dolphins,2025-09-14 13:00:00+00:00,24.522222222222222,4.3130312,clear sky
Baltimore Ravens,2025-09-14 13:01:00+00:00,16.549999999999997,3.3474272000000003,broken clouds
New York Jets,2025-09-14 13:01:00+00:00,17.938888888888894,5.793624,few clouds
Tennessee Titans,2025-09-14 13:01:00+00:00,17.022222222222222,3.4922678,scattered clouds
New Orleans Saints,2025-09-14 13:01:00+00:00,21.1,0.0,indoor/dome
Pittsburgh Steelers,2025-09-14 13:01:00+00:00,13.927777777777777,2.1887024,clear sky
Arizona Cardinals,2025-09-14 16:05:00+00:00,21.1,0.0,indoor/dome
Indianapolis Colts,2025-09-14 16:06:00+00:00,21.1,0.0,indoor/dome
Kansas City Chiefs,2025-09-14 16:25:00+00:00,27.1,15.224356400000001,overcast clouds
Minnesota Vikings,2025-09-14 20:20:00+00:00,21.1,0.0,indoor/dome
Houston Texans,2025-09-15 19:01:00+00:00,21.1,0.0,indoor/dome
Las Vegas Raiders,2025-09-15 22:00:00+00:00,34.138888888888886,11.4102206,clear sky
