home_team,away_team,commence_time,total_line,bookmaker,home_starting_qb,away_starting_qb,home_short_rest,away_short_rest
New Orleans Saints,Arizona Cardinals,2025-09-07 13:00:00-04:00,43.5,DraftKings,S.Rattler,K.Murray,0,0
Atlanta Falcons,Tampa Bay Buccaneers,2025-09-07 13:00:00-04:00,47.5,DraftKings,M.Penix,B.Mayfield,0,0
Jacksonville Jaguars,Carolina Panthers,2025-09-07 13:00:00-04:00,46.5,DraftKings,T.Lawrence,B.Young,0,0
Cleveland Browns,Cincinnati Bengals,2025-09-07 13:00:00-04:00,48.5,DraftKings,J.Flacco,J.Burrow,0,0
Indianapolis Colts,Miami Dolphins,2025-09-07 13:00:00-04:00,47.5,DraftKings,D.Jones,T.Tagovailoa,0,0
New England Patriots,Las Vegas Raiders,2025-09-07 13:00:00-04:00,44.5,DraftKings,D.Maye,G.Smith,0,0
Washington Commanders,New York Giants,2025-09-07 13:00:00-04:00,45.5,DraftKings,J.Daniels,R.Wilson,0,0
New York Jets,Pittsburgh Steelers,2025-09-07 13:00:00-04:00,37.5,DraftKings,J.Fields,A.Rodgers,0,0
Denver Broncos,Tennessee Titans,2025-09-07 16:05:00-04:00,42.5,DraftKings,B.Nix,C.Ward,0,0
Seattle Seahawks,San Francisco 49ers,2025-09-07 16:05:00-04:00,43.5,DraftKings,S.Darnold,B.Purdy,0,0
Green Bay Packers,Detroit Lions,2025-09-07 16:25:00-04:00,47.5,DraftKings,J.Love,J.Goff,0,0
Los Angeles Rams,Houston Texans,2025-09-07 16:25:00-04:00,43.5,DraftKings,M.Stafford,C.Stroud,0,0
Buffalo Bills,Baltimore Ravens,2025-09-07 20:20:00-04:00,50.5,DraftKings,J.Allen,L.Jackson,0,0
Chicago Bears,Minnesota Vikings,2025-09-08 20:15:00-04:00,43.5,DraftKings,C.Williams,J.McCarthy,0,0
