date,temperature,precipitation,wind_speed
2019-09-08,33.3,0.0,17.6
2019-09-09,31.9,0.0,14.1
2019-09-10,31.7,0.0,18.2
2019-09-11,29.9,0.0,8.8
2019-09-12,31.9,0.0,7.2
2019-09-13,32.6,0.0,7.0
2019-09-14,32.5,0.0,12.2
2019-09-15,31.3,0.0,7.9
2019-09-16,30.8,0.5,7.8
2019-09-17,29.6,0.0,3.7
2019-09-18,30.9,0.0,7.3
2019-09-19,29.7,0.0,10.8
2019-09-20,27.7,0.0,9.3
2019-09-21,26.3,0.0,7.6
2019-09-22,28.0,0.0,6.9
2019-09-23,25.9,4.3,16.8
2019-09-24,24.4,0.3,10.8
2019-09-25,25.2,0.0,9.8
2019-09-26,24.1,1.3,7.2
2019-09-27,24.8,0.0,6.8
2019-09-28,26.8,0.0,9.8
2019-09-29,26.4,0.0,13.8
2019-09-30,24.7,0.0,6.5
2019-10-01,23.5,0.0,7.2
2019-10-02,24.0,0.0,5.6
2019-10-03,26.8,0.0,6.2
2019-10-04,27.0,0.0,7.4
2019-10-05,26.0,0.0,8.3
2019-10-06,25.1,0.0,7.6
2019-10-07,25.9,0.0,7.0
2019-10-08,26.0,0.0,8.2
2019-10-09,25.2,0.0,8.2
2019-10-10,24.6,0.0,11.2
2019-10-11,22.9,0.0,16.9
2019-10-12,22.7,0.0,8.5
2019-10-13,25.2,0.0,7.6
2019-10-14,23.9,0.0,6.6
2019-10-15,24.5,0.0,6.8
2019-10-16,25.6,0.0,11.2
2019-10-17,26.1,0.0,13.3
2019-10-18,23.6,0.0,11.7
2019-10-19,20.5,0.0,5.5
2019-10-20,20.9,0.0,10.2
2019-10-21,21.6,0.0,9.0
2019-10-22,23.1,0.0,6.4
2019-10-23,22.5,0.0,6.7
2019-10-24,22.8,0.0,23.9
2019-10-25,21.8,0.0,17.1
2019-10-26,19.0,0.0,5.9
2019-10-27,20.1,0.0,10.2
2019-10-28,18.0,0.0,11.6
2019-10-29,13.8,0.0,6.8
2019-10-30,14.9,0.0,24.0
2019-10-31,15.2,0.0,13.1
2019-11-01,15.0,0.0,6.6
2019-11-02,18.2,0.0,7.9
2019-11-03,19.1,0.0,6.7
2019-11-04,19.4,0.0,6.6
2019-11-05,21.0,0.0,6.0
2019-11-06,21.3,0.0,6.9
2019-11-07,20.4,0.0,6.0
2019-11-08,22.0,0.0,11.1
2019-11-09,23.6,0.0,5.0
2019-11-10,23.6,0.0,5.8
2019-11-11,21.5,0.0,6.4
2019-11-12,19.9,0.0,7.9
2019-11-13,17.6,0.0,5.9
2019-11-14,17.8,0.0,4.7
2019-11-15,18.4,0.0,8.6
2019-11-16,17.8,0.0,6.2
