date,temperature,precipitation,wind_speed
2021-09-12,21.1,0,0
2021-10-03,21.1,0,0
2021-10-10,21.1,0,0
2021-10-31,21.1,0,0
2021-11-18,21.1,0,0
2021-12-05,21.1,0,0
2021-12-26,21.1,0,0
2022-01-09,21.1,0,0
2022-09-11,21.1,0,0
2022-10-02,21.1,0,0
2022-10-16,21.1,0,0
2022-10-30,21.1,0,0
2022-11-06,21.1,0,0
2022-11-20,21.1,0,0
2022-12-04,21.1,0,0
2023-01-01,21.1,0,0
2023-01-08,21.1,0,0
2023-09-10,21.1,0,0
2023-09-17,21.1,0,0
2023-10-08,21.1,0,0
2023-10-15,21.1,0,0
2023-11-05,21.1,0,0
2023-11-26,21.1,0,0
2023-12-10,21.1,0,0
2023-12-24,21.1,0,0
2024-09-08,21.1,0,0
2024-09-22,21.1,0,0
2024-09-29,21.1,0,0
2024-10-03,21.1,0,0
2024-10-20,21.1,0,0
2024-11-03,21.1,0,0
2024-12-01,21.1,0,0
2024-12-22,21.1,0,0
2025-01-05,21.1,0,0
