date,temperature,precipitation,wind_speed
2019-09-15,25.9,0.0,6.1
2019-09-16,26.0,0.0,6.8
2019-09-17,24.1,0.0,12.2
2019-09-18,21.1,0.0,10.4
2019-09-19,18.5,0.0,7.6
2019-09-20,20.3,0.0,5.8
2019-09-21,23.0,0.0,3.2
2019-09-22,26.0,0.0,6.1
2019-09-23,28.0,0.0,13.0
2019-09-24,23.8,0.0,12.2
2019-09-25,22.6,0.0,5.4
2019-09-26,23.5,0.0,5.8
2019-09-27,22.7,0.0,7.2
2019-09-28,24.8,0.0,5.8
2019-09-29,25.7,0.0,10.4
2019-09-30,22.2,0.3,9.7
2019-10-01,24.7,0.0,6.5
2019-10-02,28.9,0.0,12.2
2019-10-03,23.2,0.0,14.8
2019-10-04,20.4,0.0,16.2
2019-10-05,14.1,0.0,14.8
2019-10-06,20.3,0.0,6.1
2019-10-07,23.1,2.6,13.7
2019-10-08,17.5,0.3,17.6
2019-10-09,16.5,1.8,15.8
2019-10-10,18.2,0.0,9.7
2019-10-11,18.4,0.0,10.1
2019-10-12,17.5,0.0,6.1
2019-10-13,15.5,0.0,7.9
2019-10-14,18.1,0.0,7.9
2019-10-15,16.3,0.0,6.1
2019-10-16,15.8,35.0,11.9
2019-10-17,12.9,0.0,28.4
2019-10-18,12.8,0.0,14.4
2019-10-19,13.1,0.0,4.7
2019-10-20,13.2,29.1,11.9
2019-10-21,15.7,0.0,9.7
2019-10-22,16.1,17.2,9.4
2019-10-23,15.3,0.0,11.5
2019-10-24,14.4,0.0,5.0
2019-10-25,15.0,0.0,2.2
2019-10-26,16.6,0.3,10.4
2019-10-27,18.8,32.3,14.0
2019-10-28,16.5,0.0,7.9
2019-10-29,16.1,0.0,6.5
2019-10-30,16.5,7.3,3.2
2019-10-31,19.7,33.8,15.1
2019-11-01,9.4,3.3,20.2
2019-11-02,7.9,0.0,2.5
2019-11-03,8.7,0.0,9.7
2019-11-04,10.1,0.0,6.1
2019-11-05,12.5,0.0,6.1
2019-11-06,11.0,0.0,6.1
2019-11-07,11.2,2.1,10.4
2019-11-08,5.0,0.0,15.1
2019-11-09,3.0,0.0,5.4
2019-11-10,8.0,0.0,3.2
2019-11-11,11.2,0.0,5.4
2019-11-12,7.5,1.6,19.4
2019-11-13,-0.1,0.0,8.6
2019-11-14,2.4,0.0,3.2
2019-11-15,7.4,0.0,5.8
2019-11-16,5.1,0.0,19.1
2019-11-17,4.6,0.0,15.8
2019-11-18,7.0,0.5,7.2
2019-11-19,8.8,1.8,6.5
2019-11-20,9.6,0.0,14.0
2019-11-21,9.0,0.0,6.8
2019-11-22,10.1,0.8,12.2
2019-11-23,5.0,5.3,6.8
2019-11-24,6.9,16.4,22.0
2019-11-25,8.3,0.0,6.5
2019-11-26,9.5,0.0,2.9
2019-11-27,11.8,0.3,15.8
2019-11-28,9.1,0.0,25.9
2019-11-29,5.9,0.0,10.8
2019-11-30,5.3,0.0,5.8
2019-12-01,5.1,16.2,13.0
2019-12-02,4.7,0.6,13.3
2019-12-03,5.2,0.0,17.3
2019-12-04,5.4,0.0,9.4
2019-12-05,5.9,0.0,16.9
2019-12-06,7.4,0.0,9.4
2019-12-07,4.2,0.0,5.8
2019-12-08,4.2,0.0,5.0
2019-12-09,8.2,20.1,9.7
2019-12-10,12.0,2.4,16.2
2019-12-11,2.6,2.1,16.9
2019-12-12,0.8,0.0,7.6
2019-12-13,4.5,8.9,6.1
2019-12-14,8.5,4.8,15.5
2019-12-15,8.1,0.0,19.4
2019-12-16,2.1,7.9,10.8
2019-12-17,4.0,5.6,10.8
2019-12-18,1.6,0.0,22.7
2019-12-19,-2.9,0.0,13.0
2019-12-20,0.0,0.0,5.8
2019-12-21,0.2,0.0,1.4
2019-12-22,2.5,0.0,3.6
2019-12-23,3.8,0.0,3.2
2019-12-24,6.4,0.0,5.4
2019-12-25,4.3,0.0,2.5
2019-12-26,5.8,0.0,6.1
2019-12-27,8.5,0.0,4.0
2019-12-28,10.3,0.0,5.0
2019-12-29,8.2,18.1,9.0
2019-12-30,10.5,6.7,11.2
2019-12-31,8.0,0.0,12.2
2020-01-01,6.4,0.0,15.8
2020-01-02,5.3,0.0,3.6
2020-01-03,9.9,6.8,7.6
2020-01-04,10.7,4.4,7.9
2020-01-05,4.5,0.0,20.2
2020-01-06,6.1,0.0,9.7
2020-01-07,3.3,9.9,7.6
2020-01-08,2.8,0.0,16.9
