date,temperature,precipitation,wind_speed
2019-09-08,27.1,0.0,9.4
2019-09-09,27.3,0.0,7.9
2019-09-10,28.9,0.0,10.1
2019-09-11,28.7,0.0,7.9
2019-09-12,28.9,0.0,6.8
2019-09-13,27.4,4.8,10.8
2019-09-14,25.2,0.0,9.4
2019-09-15,26.1,0.0,6.5
2019-09-16,27.0,0.0,6.1
2019-09-17,26.6,0.0,9.0
2019-09-18,24.4,0.0,13.7
2019-09-19,21.3,0.0,13.7
2019-09-20,19.4,0.0,4.7
2019-09-21,21.9,0.0,5.0
2019-09-22,23.8,0.0,7.6
2019-09-23,24.4,0.0,4.7
2019-09-24,25.8,0.0,9.0
2019-09-25,24.4,0.0,7.2
2019-09-26,25.3,0.0,6.5
2019-09-27,26.7,0.0,9.7
2019-09-28,26.3,0.0,7.9
2019-09-29,26.8,0.0,3.6
2019-09-30,26.4,0.0,9.4
2019-10-01,27.2,0.0,6.1
2019-10-02,28.4,0.0,5.0
2019-10-03,27.9,0.0,4.3
2019-10-04,27.0,0.0,8.3
2019-10-05,21.8,0.0,19.8
2019-10-06,19.4,0.8,10.8
2019-10-07,22.7,0.0,7.9
2019-10-08,21.0,0.0,14.8
2019-10-09,19.2,0.0,13.0
2019-10-10,20.2,0.0,10.1
2019-10-11,18.7,0.0,5.0
2019-10-12,20.9,0.0,9.0
2019-10-13,19.6,26.7,7.6
2019-10-14,19.4,0.0,3.6
2019-10-15,17.2,0.5,9.0
2019-10-16,17.2,16.0,10.1
2019-10-17,12.9,0.0,9.0
2019-10-18,12.6,0.0,5.8
2019-10-19,12.9,26.7,10.8
2019-10-20,16.2,7.4,13.7
2019-10-21,18.9,0.0,12.2
2019-10-22,20.9,14.5,14.0
2019-10-23,14.8,0.0,6.5
2019-10-24,12.9,0.0,5.8
2019-10-25,16.4,0.0,8.6
2019-10-26,20.0,4.8,15.5
2019-10-27,23.4,4.8,14.8
2019-10-28,19.7,0.0,11.2
2019-10-29,20.3,0.0,11.2
2019-10-30,18.7,19.3,8.6
2019-10-31,23.2,31.0,23.8
2019-11-01,10.4,0.0,9.4
2019-11-02,9.3,0.0,6.8
2019-11-03,8.9,0.0,7.9
2019-11-04,9.3,0.0,4.3
2019-11-05,13.2,0.0,4.7
2019-11-06,14.2,0.0,8.6
2019-11-07,12.9,9.4,8.3
2019-11-08,11.6,2.8,15.8
2019-11-09,4.3,0.0,6.5
2019-11-10,6.9,0.0,7.2
2019-11-11,11.9,0.0,13.0
2019-11-12,10.7,18.0,16.6
2019-11-13,-0.1,0.0,12.2
2019-11-14,2.1,0.0,6.8
2019-11-15,5.9,2.5,13.3
2019-11-16,9.6,0.0,23.8
2019-11-17,8.7,0.0,16.9
2019-11-18,8.1,5.3,5.8
2019-11-19,8.7,0.0,4.0
2019-11-20,10.1,0.0,8.3
2019-11-21,9.1,0.0,9.4
2019-11-22,12.9,0.0,11.9
2019-11-23,12.8,28.7,10.1
2019-11-24,9.9,0.0,8.6
2019-11-25,7.8,0.0,3.6
2019-11-26,9.0,0.0,4.7
2019-11-27,12.7,3.3,10.4
2019-11-28,12.5,0.0,11.2
2019-11-29,10.0,0.0,6.8
2019-11-30,11.8,15.7,7.9
2019-12-01,13.5,15.2,16.6
2019-12-02,9.3,0.0,15.8
2019-12-03,5.2,0.0,9.4
2019-12-04,8.1,0.0,9.7
2019-12-05,9.9,0.0,6.5
2019-12-06,8.2,0.3,5.4
2019-12-07,8.6,0.0,10.8
2019-12-08,6.9,0.0,10.1
2019-12-09,6.4,0.3,7.9
2019-12-10,13.4,4.3,13.7
2019-12-11,7.9,1.8,7.2
2019-12-12,3.7,0.0,14.4
2019-12-13,2.8,43.9,13.3
2019-12-14,8.3,11.9,11.2
2019-12-15,7.7,0.0,8.6
2019-12-16,11.8,0.0,13.7
2019-12-17,16.7,16.8,18.0
2019-12-18,6.1,0.0,11.9
2019-12-19,2.8,0.0,7.9
2019-12-20,3.9,0.0,1.8
2019-12-21,6.6,0.0,7.9
2019-12-22,5.4,8.9,8.3
2019-12-23,6.9,24.9,19.8
2019-12-24,13.2,0.0,14.4
2019-12-25,10.1,0.0,6.1
2019-12-26,8.1,0.0,1.8
2019-12-27,9.9,0.0,3.2
2019-12-28,13.3,0.0,5.8
2019-12-29,17.7,6.9,17.3
2019-12-30,19.2,0.0,22.0
2019-12-31,9.6,0.0,12.2
2020-01-01,7.2,0.0,8.3
2020-01-02,7.4,9.7,9.4
2020-01-03,9.2,13.2,4.7
2020-01-04,13.7,7.4,19.1
2020-01-05,6.4,0.0,9.4
2020-01-06,7.9,0.0,6.1
2020-01-07,8.3,2.3,9.4
2020-01-08,6.9,0.0,8.6
2020-01-09,7.4,0.0,10.4
2020-01-10,10.5,0.0,7.6
2020-01-11,16.7,14.2,25.9
2020-01-12,18.9,0.0,13.7
2020-01-13,16.7,19.6,6.8
2020-01-14,17.1,8.1,9.0
2020-01-15,15.8,0.0,4.3
2020-01-16,16.4,0.0,13.7
