date,temperature,precipitation,wind_speed
2021-09-19,25.2,0.0,9.3
2021-09-20,25.0,0.0,20.2
2021-09-21,19.4,7.6,19.6
2021-09-22,15.6,8.4,25.4
2021-09-23,15.3,0.0,19.5
2021-09-24,18.9,3.8,21.0
2021-09-25,16.3,0.0,17.6
2021-09-26,20.9,0.0,21.2
2021-09-27,22.7,0.0,19.9
2021-09-28,19.4,0.0,15.7
2021-09-29,20.8,0.0,10.1
2021-09-30,21.2,0.0,8.5
2021-10-01,23.0,0.0,9.4
2021-10-02,22.5,1.3,13.7
2021-10-03,21.7,0.5,8.9
2021-10-04,19.9,0.0,17.1
2021-10-05,19.5,0.0,17.8
2021-10-06,19.4,0.0,15.7
2021-10-07,20.8,16.8,10.2
2021-10-08,20.1,0.0,6.5
2021-10-09,21.9,0.3,9.7
2021-10-10,24.2,0.0,18.0
2021-10-11,22.1,41.7,20.3
2021-10-12,16.9,0.8,13.4
2021-10-13,17.2,11.9,10.1
2021-10-14,19.3,3.8,11.9
2021-10-15,14.6,0.5,10.7
2021-10-16,11.5,0.0,17.8
2021-10-17,12.5,0.0,11.0
2021-10-18,15.3,0.0,7.0
2021-10-19,16.4,0.0,12.9
2021-10-20,17.3,0.0,14.3
2021-10-21,12.5,0.0,20.4
2021-10-22,10.1,0.0,11.3
2021-10-23,9.1,0.0,10.6
2021-10-24,9.1,68.3,18.7
2021-10-25,10.6,25.9,31.8
2021-10-26,10.0,0.0,12.2
2021-10-27,9.2,0.0,11.6
2021-10-28,11.6,8.6,16.9
2021-10-29,12.3,23.6,21.5
2021-10-30,11.9,1.8,18.4
2021-10-31,8.7,0.0,15.8
2021-11-01,5.4,0.0,15.4
2021-11-02,4.4,0.0,12.7
2021-11-03,3.2,0.0,8.8
2021-11-04,4.0,0.0,7.5
2021-11-05,6.0,0.0,12.2
2021-11-06,8.6,0.0,15.4
2021-11-07,11.9,0.0,15.8
2021-11-08,13.2,0.0,13.0
2021-11-09,11.6,0.0,12.4
2021-11-10,10.5,0.0,12.0
2021-11-11,10.7,13.2,22.6
2021-11-12,3.6,1.0,23.3
2021-11-13,3.3,0.0,20.2
2021-11-14,2.2,1.0,24.9
2021-11-15,0.9,0.0,10.0
2021-11-16,5.8,0.0,14.6
2021-11-17,12.5,4.8,18.2
2021-11-18,1.5,0.0,26.9
2021-11-19,1.3,0.0,13.2
2021-11-20,5.7,0.0,14.9
2021-11-21,6.1,0.8,18.1
2021-11-22,-0.9,0.0,17.1
2021-11-23,1.3,0.0,14.2
2021-11-24,7.6,1.8,23.9
2021-11-25,4.3,0.3,22.0
2021-11-26,-3.7,0.0,12.6
2021-11-27,2.0,0.0,15.8
2021-11-28,0.8,0.0,16.2
2021-11-29,1.5,0.0,15.1
2021-11-30,5.7,0.0,13.3
2021-12-01,6.2,0.0,12.7
2021-12-02,10.6,0.0,16.8
2021-12-03,7.6,0.0,11.7
2021-12-04,3.5,0.0,12.2
2021-12-05,3.7,6.6,16.2
2021-12-06,-1.1,0.0,30.2
2021-12-07,-7.2,0.0,12.7
2021-12-08,-1.4,0.0,12.3
2021-12-09,3.5,0.0,14.5
