date,temperature,precipitation,wind_speed
2019-09-15,20.8,0.0,2.5
2019-09-16,23.8,0.0,4.6
2019-09-17,22.4,0.0,5.8
2019-09-18,21.8,0.0,8.2
2019-09-19,21.9,0.0,5.2
2019-09-20,23.5,0.0,7.6
2019-09-21,24.2,0.0,6.0
2019-09-22,23.6,0.0,10.1
2019-09-23,24.0,3.0,16.2
2019-09-24,17.6,0.0,3.7
2019-09-25,19.4,0.0,6.4
2019-09-26,21.6,0.0,7.9
2019-09-27,19.7,0.0,7.0
2019-09-28,25.5,0.0,9.4
2019-09-29,23.7,0.0,4.5
2019-09-30,24.8,0.0,3.5
2019-10-01,25.4,0.0,5.7
2019-10-02,25.7,0.0,8.9
2019-10-03,24.9,0.0,10.9
2019-10-04,17.4,0.0,15.0
2019-10-05,15.9,0.0,5.4
2019-10-06,18.6,9.1,7.5
2019-10-07,14.4,4.1,2.0
2019-10-08,14.2,0.0,7.9
2019-10-09,14.7,0.0,4.7
2019-10-10,17.1,0.0,3.1
2019-10-11,18.8,3.6,9.1
2019-10-12,8.2,0.5,10.5
2019-10-13,9.1,0.0,10.2
2019-10-14,11.8,0.0,7.4
2019-10-15,12.9,0.0,8.8
2019-10-16,11.4,9.7,16.0
2019-10-17,10.3,0.0,13.0
2019-10-18,7.9,0.0,4.6
2019-10-19,10.0,0.0,3.2
2019-10-20,16.0,0.0,2.1
2019-10-21,16.6,1.0,13.7
2019-10-22,14.6,0.0,20.2
2019-10-23,11.2,0.0,13.4
2019-10-24,12.0,0.0,4.7
2019-10-25,12.1,0.0,3.4
2019-10-26,13.5,26.9,10.3
2019-10-27,14.2,0.0,15.9
2019-10-28,11.0,0.0,3.5
2019-10-29,11.6,0.0,3.6
2019-10-30,12.2,15.2,4.9
2019-10-31,9.6,20.3,19.1
2019-11-01,3.0,0.0,11.5
2019-11-02,4.0,0.0,8.0
2019-11-03,5.6,0.0,6.9
2019-11-04,8.6,0.0,10.3
2019-11-05,7.7,4.6,4.7
2019-11-06,6.1,1.5,3.3
2019-11-07,5.1,13.7,11.2
2019-11-08,-1.4,0.0,6.2
2019-11-09,0.8,0.0,6.4
2019-11-10,9.2,0.0,11.7
2019-11-11,6.5,6.9,11.1
2019-11-12,-4.8,0.5,14.3
2019-11-13,-6.0,0.0,3.5
2019-11-14,0.3,0.0,6.7
2019-11-15,-0.8,0.0,4.0
2019-11-16,1.3,0.0,9.2
2019-11-17,1.8,0.0,1.5
2019-11-18,3.6,0.0,6.3
2019-11-19,6.3,0.3,5.1
2019-11-20,7.6,0.3,6.0
2019-11-21,8.8,0.5,12.8
2019-11-22,6.3,7.1,11.7
2019-11-23,2.2,7.6,8.8
2019-11-24,3.8,1.8,13.6
2019-11-25,5.7,0.0,7.3
2019-11-26,7.6,4.8,7.1
2019-11-27,10.2,7.4,28.3
2019-11-28,3.9,0.0,11.0
2019-11-29,4.3,0.0,4.6
2019-11-30,5.0,24.6,6.7
2019-12-01,7.9,5.1,17.4
2019-12-02,2.8,2.0,14.5
2019-12-03,1.3,0.0,12.8
2019-12-04,4.6,0.0,15.1
2019-12-05,3.3,0.0,3.7
2019-12-06,4.2,1.8,7.1
2019-12-07,-0.9,0.0,3.7
2019-12-08,4.2,0.0,7.4
2019-12-09,12.5,10.9,18.2
2019-12-10,1.2,0.0,19.4
2019-12-11,-2.8,0.0,11.4
2019-12-12,-0.9,0.0,2.9
2019-12-13,3.9,4.8,3.8
2019-12-14,5.3,5.1,12.2
2019-12-15,1.4,7.4,9.6
2019-12-16,1.0,22.1,10.8
2019-12-17,0.5,4.1,16.2
2019-12-18,-3.3,0.0,16.3
2019-12-19,-3.2,0.0,6.6
2019-12-20,-0.2,0.0,2.4
2019-12-21,1.8,0.0,2.5
2019-12-22,1.4,0.0,1.4
2019-12-23,3.2,0.0,2.3
2019-12-24,2.8,0.0,1.2
2019-12-25,4.3,0.0,1.0
2019-12-26,8.8,0.0,4.0
2019-12-27,12.3,0.0,10.4
2019-12-28,11.2,0.8,7.1
2019-12-29,13.8,25.9,7.4
2019-12-30,7.4,1.0,25.5
2019-12-31,3.0,0.0,25.6
2020-01-01,3.9,0.0,16.5
2020-01-02,5.7,9.9,8.2
2020-01-03,10.4,17.3,3.5
2020-01-04,4.9,1.5,13.2
2020-01-05,3.7,0.0,16.9
2020-01-06,2.8,0.0,6.7
2020-01-07,3.0,0.0,9.6
2020-01-08,2.0,0.0,13.8
2020-01-09,4.7,0.0,10.9
2020-01-10,12.7,18.0,10.1
2020-01-11,16.0,17.3,20.4
2020-01-12,5.2,0.0,12.9
2020-01-13,6.0,0.0,4.4
2020-01-14,5.8,0.0,5.3
2020-01-15,6.2,0.0,7.1
2020-01-16,3.8,0.0,15.7
2020-01-17,-1.1,0.0,12.1
2020-01-18,4.8,17.5,18.9
2020-01-19,-6.2,0.0,21.3
2020-01-20,-5.4,0.0,9.0
2020-01-21,-3.8,0.0,5.8
2020-01-22,-3.4,0.0,2.6
2020-01-23,2.2,3.3,2.0
2020-01-24,6.0,14.5,4.7
2020-01-25,2.9,1.3,17.7
2020-01-26,1.6,0.0,12.3
2020-01-27,0.2,0.0,6.2
2020-01-28,1.7,0.0,5.9
2020-01-29,1.5,0.0,7.1
2020-01-30,1.9,0.0,6.1
2020-01-31,2.0,2.8,4.9
2020-02-01,3.9,0.0,8.3
2020-02-02,8.9,0.0,20.2
2020-02-03,10.4,0.0,9.6
2020-02-04,12.0,8.9,17.7
2020-02-05,2.0,8.4,17.4
2020-02-06,1.0,0.0,11.6
2020-02-07,-0.7,2.3,15.2
2020-02-08,0.0,3.0,9.5
2020-02-09,1.2,4.3,7.2
2020-02-10,7.0,2.5,14.5
2020-02-11,3.4,1.8,9.9
2020-02-12,1.1,26.9,7.1
2020-02-13,1.3,1.8,14.9
2020-02-14,-6.9,0.0,11.5
2020-02-15,-1.6,0.0,9.7
2020-02-16,4.0,0.0,3.5
2020-02-17,4.0,0.0,5.4
2020-02-18,9.1,3.6,13.9
2020-02-19,1.7,0.0,8.1
2020-02-20,-1.2,0.0,15.0
2020-02-21,-3.3,0.0,3.7
2020-02-22,0.5,0.0,9.1
2020-02-23,2.6,0.0,6.7
2020-02-24,4.1,11.2,3.3
2020-02-25,7.3,7.9,8.3
2020-02-26,3.0,5.3,11.3
2020-02-27,-0.4,0.0,20.2
2020-02-28,0.1,3.0,16.4
2020-02-29,-1.9,0.0,11.7
2020-03-01,5.2,0.0,9.6
2020-03-02,11.8,4.3,16.3
2020-03-03,11.8,10.2,16.4
2020-03-04,8.5,0.0,13.6
2020-03-05,6.4,0.0,7.4
2020-03-06,4.4,0.0,18.5
2020-03-07,4.0,0.0,7.8
2020-03-08,7.3,0.0,8.8
2020-03-09,11.9,0.0,16.8
2020-03-10,12.9,10.7,19.5
2020-03-11,8.7,0.0,5.4
2020-03-12,11.2,11.9,6.5
2020-03-13,11.1,0.0,15.3
2020-03-14,3.7,7.4,8.7
2020-03-15,4.2,0.0,14.1
2020-03-16,6.4,0.3,8.5
2020-03-17,7.6,0.0,8.7
2020-03-18,7.5,27.4,6.6
2020-03-19,15.9,39.6,10.0
2020-03-20,16.9,7.6,23.5
2020-03-21,3.0,0.0,15.7
2020-03-22,3.2,0.3,11.7
2020-03-23,8.3,0.0,6.9
