date,temperature,precipitation,wind_speed
2019-09-08,20.2,0.0,15.8
2019-09-09,19.6,0.0,13.5
2019-09-10,24.5,0.0,16.5
2019-09-11,26.4,0.5,12.5
2019-09-12,21.9,2.8,13.3
2019-09-13,25.1,15.8,19.1
2019-09-14,21.7,0.0,19.3
2019-09-15,21.6,0.0,12.8
2019-09-16,22.1,0.0,11.3
2019-09-17,20.8,0.0,15.7
2019-09-18,21.5,0.0,14.3
2019-09-19,21.6,0.0,17.3
2019-09-20,23.0,0.0,15.3
2019-09-21,24.8,0.0,10.2
2019-09-22,27.3,0.0,20.9
2019-09-23,23.4,1.3,28.6
2019-09-24,20.2,0.0,19.3
2019-09-25,21.6,0.3,19.2
2019-09-26,20.8,0.0,21.9
2019-09-27,20.3,0.0,19.1
2019-09-28,21.7,1.3,18.0
2019-09-29,19.7,0.0,14.5
2019-09-30,22.2,1.0,9.2
2019-10-01,26.1,0.0,14.7
2019-10-02,23.4,3.6,19.2
2019-10-03,19.5,2.8,18.8
2019-10-04,15.1,0.0,26.9
2019-10-05,13.6,0.0,14.1
2019-10-06,18.5,1.8,20.8
2019-10-07,15.7,0.0,11.2
2019-10-08,15.3,0.0,13.2
2019-10-09,15.7,0.0,14.9
2019-10-10,16.9,0.0,15.9
2019-10-11,20.7,0.3,21.3
2019-10-12,11.1,5.6,24.8
2019-10-13,13.4,0.0,23.2
2019-10-14,12.2,0.0,22.4
2019-10-15,13.3,0.0,17.4
2019-10-16,12.7,18.5,33.8
2019-10-17,9.7,0.0,37.4
2019-10-18,10.4,0.0,14.6
2019-10-19,11.0,0.0,13.0
2019-10-20,14.5,0.0,11.0
2019-10-21,18.3,2.8,17.5
2019-10-22,16.3,0.5,23.7
2019-10-23,12.4,0.0,27.1
2019-10-24,13.7,0.0,20.8
2019-10-25,12.0,0.0,10.8
2019-10-26,10.9,18.3,16.2
2019-10-27,13.2,2.0,30.0
2019-10-28,12.7,0.0,12.5
2019-10-29,13.9,0.0,16.3
2019-10-30,13.3,7.4,14.1
2019-10-31,13.2,20.8,21.2
2019-11-01,3.5,6.7,33.1
2019-11-02,4.8,1.3,20.7
2019-11-03,5.6,0.0,22.7
