date,temperature,precipitation,wind_speed
2021-09-12,21.1,0,0
2021-09-26,21.1,0,0
2021-10-17,21.1,0,0
2021-10-31,21.1,0,0
2021-11-25,21.1,0,0
2021-12-05,21.1,0,0
2021-12-19,21.1,0,0
2022-01-09,21.1,0,0
2022-09-11,21.1,0,0
2022-09-18,21.1,0,0
2022-10-02,21.1,0,0
2022-10-30,21.1,0,0
2022-11-06,21.1,0,0
2022-11-24,21.1,0,0
2022-12-04,21.1,0,0
2022-12-11,21.1,0,0
2023-01-01,21.1,0,0
2023-09-17,21.1,0,0
2023-09-24,21.1,0,0
2023-10-08,21.1,0,0
2023-10-30,21.1,0,0
2023-11-19,21.1,0,0
2023-11-23,21.1,0,0
2023-12-16,21.1,0,0
2024-01-07,21.1,0,0
2024-01-14,21.1,0,0
2024-01-21,21.1,0,0
2024-09-08,21.1,0,0
2024-09-15,21.1,0,0
2024-09-30,21.1,0,0
2024-10-27,21.1,0,0
2024-11-17,21.1,0,0
2024-11-28,21.1,0,0
2024-12-05,21.1,0,0
2024-12-15,21.1,0,0
2025-01-05,21.1,0,0
2025-01-18,21.1,0,0
2025-09-14,21.1,0,0
2025-09-28,21.1,0,0
2025-10-20,21.1,0,0
2025-11-02,21.1,0,0
2025-11-23,21.1,0,0
2025-11-27,21.1,0,0
2025-12-04,21.1,0,0
2025-12-21,21.1,0,0
