date,temperature,precipitation,wind_speed
2019-09-15,18.8,0.0,6.1
2019-09-16,18.8,0.0,4.3
2019-09-17,19.6,0.0,9.7
2019-09-18,20.2,0.0,16.6
2019-09-19,21.0,9.9,9.4
2019-09-20,20.4,0.0,4.7
2019-09-21,20.9,2.3,14.4
2019-09-22,21.8,15.5,12.2
2019-09-23,18.1,0.0,14.4
2019-09-24,18.1,1.0,13.7
2019-09-25,20.3,3.3,18.7
2019-09-26,15.1,0.0,14.4
2019-09-27,15.1,19.1,10.4
2019-09-28,13.8,0.0,16.9
2019-09-29,12.7,4.1,15.8
2019-09-30,18.7,0.3,18.7
2019-10-01,22.4,33.3,18.0
2019-10-02,12.6,7.1,28.4
2019-10-03,11.8,2.5,15.5
2019-10-04,9.3,0.0,10.8
2019-10-05,10.6,8.1,18.4
2019-10-06,13.7,0.0,19.1
2019-10-07,13.4,0.0,11.9
2019-10-08,11.7,0.0,10.1
2019-10-09,13.6,0.0,11.2
2019-10-10,14.2,1.5,16.6
2019-10-11,14.4,20.6,23.0
2019-10-12,4.4,1.0,23.0
2019-10-13,3.7,0.8,16.9
2019-10-14,4.2,0.0,11.5
2019-10-15,6.9,7.4,14.0
2019-10-16,8.3,1.0,22.0
2019-10-17,6.9,0.0,7.2
2019-10-18,6.1,0.0,12.2
2019-10-19,10.7,0.3,12.6
2019-10-20,11.6,0.0,7.2
2019-10-21,11.1,6.6,24.1
2019-10-22,9.1,7.4,23.8
2019-10-23,7.3,0.0,16.2
2019-10-24,5.2,0.0,13.7
2019-10-25,4.4,0.0,7.9
2019-10-26,4.2,4.1,12.2
2019-10-27,7.9,2.3,11.2
2019-10-28,6.4,3.3,11.9
2019-10-29,2.4,3.0,9.4
2019-10-30,1.4,0.5,6.8
2019-10-31,0.4,1.5,21.6
2019-11-01,-0.1,0.0,11.5
2019-11-02,2.6,0.0,16.9
2019-11-03,1.7,0.3,9.7
2019-11-04,4.7,1.5,15.8
2019-11-05,0.7,0.0,16.2
2019-11-06,-2.5,3.8,9.4
