date,temperature,precipitation,wind_speed
2019-09-15,27.6,0.0,7.5
2019-09-16,25.8,5.1,10.2
2019-09-17,23.9,118.6,13.3
2019-09-18,24.8,68.1,6.6
2019-09-19,24.4,88.9,6.8
2019-09-20,26.1,0.8,7.3
2019-09-21,26.8,0.0,7.7
2019-09-22,26.9,0.0,6.7
2019-09-23,27.1,0.0,4.5
2019-09-24,26.5,0.0,5.0
2019-09-25,25.7,0.0,3.8
2019-09-26,25.8,0.0,3.1
2019-09-27,25.1,2.0,5.2
2019-09-28,26.9,0.0,7.9
2019-09-29,27.2,0.0,7.6
2019-09-30,27.6,0.0,9.9
2019-10-01,26.9,0.0,7.8
2019-10-02,26.5,0.0,5.9
2019-10-03,26.6,0.0,5.2
2019-10-04,26.4,0.0,3.6
2019-10-05,25.8,0.0,1.9
2019-10-06,25.6,0.0,3.7
2019-10-07,24.8,0.0,9.9
2019-10-08,21.9,0.0,7.2
2019-10-09,23.7,0.0,5.9
2019-10-10,25.8,0.0,6.9
2019-10-11,18.5,11.9,11.6
2019-10-12,15.7,0.0,13.4
2019-10-13,19.8,0.0,3.1
2019-10-14,25.0,0.0,4.5
2019-10-15,26.8,0.0,4.3
2019-10-16,20.9,16.0,7.5
2019-10-17,16.1,0.0,8.4
2019-10-18,18.8,0.8,3.3
2019-10-19,23.2,0.0,3.4
2019-10-20,26.2,0.5,6.1
2019-10-21,22.7,17.5,7.0
2019-10-22,17.7,0.0,6.1
2019-10-23,18.4,0.0,8.6
2019-10-24,21.8,0.5,12.4
2019-10-25,12.7,47.8,21.5
2019-10-26,12.8,0.0,12.7
2019-10-27,15.9,0.0,3.7
2019-10-28,19.2,0.0,9.9
2019-10-29,20.9,0.8,13.0
2019-10-30,15.7,11.2,12.4
2019-10-31,7.7,0.0,18.9
2019-11-01,8.0,0.0,3.1
2019-11-02,11.0,0.0,5.2
2019-11-03,11.2,0.0,4.9
2019-11-04,17.8,0.0,5.2
2019-11-05,21.4,0.0,5.6
2019-11-06,20.0,0.0,7.6
2019-11-07,17.3,42.2,7.0
2019-11-08,10.6,0.5,14.3
2019-11-09,10.7,0.0,3.2
2019-11-10,14.1,0.0,2.9
2019-11-11,15.2,1.3,8.9
2019-11-12,3.5,0.3,18.1
2019-11-13,3.5,0.0,2.1
2019-11-14,7.3,4.8,12.1
2019-11-15,8.5,0.0,6.2
2019-11-16,8.0,0.0,1.3
2019-11-17,11.4,0.0,0.5
2019-11-18,13.4,0.0,1.8
2019-11-19,14.9,0.0,2.1
2019-11-20,20.3,0.0,11.7
2019-11-21,22.3,0.0,12.7
2019-11-22,19.8,5.1,9.5
2019-11-23,11.9,0.0,10.1
2019-11-24,11.2,0.0,1.8
2019-11-25,17.3,0.0,6.5
2019-11-26,23.6,0.0,13.2
2019-11-27,21.7,0.3,24.1
2019-11-28,18.9,0.0,20.5
2019-11-29,22.6,0.0,11.6
2019-11-30,23.4,0.0,13.7
2019-12-01,14.9,0.0,13.2
2019-12-02,9.7,0.0,7.4
2019-12-03,10.9,0.0,3.0
2019-12-04,13.1,0.0,2.3
2019-12-05,15.2,0.0,4.2
2019-12-06,17.9,0.0,9.7
2019-12-07,14.2,0.0,5.7
2019-12-08,15.2,0.0,5.0
2019-12-09,21.5,0.0,6.2
2019-12-10,12.0,14.7,16.5
2019-12-11,9.0,0.0,12.7
2019-12-12,11.1,0.0,5.0
2019-12-13,15.6,0.0,4.2
2019-12-14,14.0,0.0,5.5
2019-12-15,21.7,0.0,8.8
2019-12-16,17.0,0.0,13.9
2019-12-17,6.4,0.0,14.6
2019-12-18,5.2,0.0,2.9
2019-12-19,6.5,0.0,5.0
2019-12-20,10.4,0.3,9.7
2019-12-21,9.9,0.0,4.8
2019-12-22,8.4,0.0,7.3
2019-12-23,9.8,0.0,4.6
2019-12-24,11.6,0.0,3.2
2019-12-25,13.9,0.0,3.5
2019-12-26,16.0,0.0,3.0
2019-12-27,16.5,0.0,5.7
2019-12-28,20.4,0.8,10.0
2019-12-29,16.8,5.6,9.0
2019-12-30,8.7,0.0,5.1
2019-12-31,8.3,0.0,2.2
2020-01-01,12.8,6.9,5.7
2020-01-02,15.9,1.0,2.0
2020-01-03,13.8,0.0,7.1
2020-01-04,11.4,0.0,5.5
2020-01-05,12.1,0.0,4.9
2020-01-06,13.7,0.0,3.1
2020-01-07,11.9,0.0,8.0
2020-01-08,10.5,0.0,9.0
2020-01-09,19.4,0.3,13.2
2020-01-10,21.6,0.8,19.7
2020-01-11,11.7,24.9,15.4
2020-01-12,8.2,0.0,4.4
2020-01-13,14.4,6.1,7.5
2020-01-14,22.0,3.3,7.9
2020-01-15,21.8,0.0,7.1
2020-01-16,20.2,0.0,7.6
2020-01-17,18.3,1.0,11.2
2020-01-18,19.0,13.2,5.6
2020-01-19,10.5,0.0,16.4
2020-01-20,8.8,0.0,7.8
2020-01-21,8.7,0.0,6.7
2020-01-22,11.6,35.6,13.1
2020-01-23,14.1,10.2,10.4
2020-01-24,10.6,0.0,2.6
2020-01-25,13.3,0.3,13.7
2020-01-26,18.9,5.6,9.7
2020-01-27,14.2,0.0,7.5
2020-01-28,14.6,16.0,10.2
2020-01-29,9.8,0.0,17.4
2020-01-30,10.5,0.0,8.6
2020-01-31,10.7,0.0,5.7
2020-02-01,10.3,0.0,5.9
2020-02-02,14.2,0.0,5.0
2020-02-03,17.2,0.0,10.9
2020-02-04,21.4,0.0,10.0
2020-02-05,9.5,0.3,16.5
2020-02-06,5.0,0.3,16.2
2020-02-07,10.6,0.0,6.4
2020-02-08,14.9,0.0,8.4
2020-02-09,19.1,0.0,12.9
2020-02-10,21.1,2.0,10.2
2020-02-11,12.0,0.5,11.4
2020-02-12,12.1,1.0,8.8
2020-02-13,9.6,0.0,10.9
2020-02-14,8.3,0.0,8.2
2020-02-15,12.6,0.0,8.2
2020-02-16,17.0,0.0,4.7
2020-02-17,20.1,0.0,7.9
2020-02-18,21.2,0.0,5.8
2020-02-19,14.9,0.0,12.0
2020-02-20,9.2,5.3,17.0
2020-02-21,8.1,0.0,12.2
2020-02-22,9.3,0.0,3.7
2020-02-23,16.0,0.0,8.6
2020-02-24,17.4,46.5,5.6
2020-02-25,15.5,0.0,8.5
2020-02-26,9.9,0.0,21.6
2020-02-27,6.5,0.0,3.0
2020-02-28,10.9,0.0,4.7
2020-02-29,13.6,0.0,7.0
2020-03-01,18.0,0.5,10.2
2020-03-02,20.6,0.0,6.8
2020-03-03,21.4,0.0,5.0
2020-03-04,19.2,0.8,9.3
2020-03-05,15.9,0.0,14.5
2020-03-06,14.4,0.0,7.5
2020-03-07,11.4,0.0,7.7
2020-03-08,15.7,0.0,13.5
2020-03-09,19.0,0.3,8.9
2020-03-10,20.3,0.0,3.7
2020-03-11,20.6,0.0,6.6
2020-03-12,21.9,0.0,8.1
