date,temperature,precipitation,wind_speed
2021-09-12,21.1,0,0
2021-09-19,21.1,0,0
2021-10-17,21.1,0,0
2021-10-31,21.1,0,0
2021-11-04,21.1,0,0
2021-11-14,21.1,0,0
2021-11-28,21.1,0,0
2021-12-18,21.1,0,0
2022-01-02,21.1,0,0
2022-09-25,21.1,0,0
2022-10-02,21.1,0,0
2022-10-16,21.1,0,0
2022-10-30,21.1,0,0
2022-11-20,21.1,0,0
2022-11-28,21.1,0,0
2022-12-26,21.1,0,0
2023-01-08,21.1,0,0
2023-09-10,21.1,0,0
2023-10-01,21.1,0,0
2023-10-08,21.1,0,0
2023-10-22,21.1,0,0
2023-10-29,21.1,0,0
2023-11-26,21.1,0,0
2023-12-16,21.1,0,0
2023-12-31,21.1,0,0
2024-01-06,21.1,0,0
2024-09-08,21.1,0,0
2024-09-22,21.1,0,0
2024-09-29,21.1,0,0
2024-10-20,21.1,0,0
2024-11-10,21.1,0,0
2024-11-24,21.1,0,0
2024-12-22,21.1,0,0
2025-01-05,21.1,0,0
2025-09-07,21.1,0,0
2025-09-14,21.1,0,0
2025-10-05,21.1,0,0
2025-10-12,21.1,0,0
2025-10-26,21.1,0,0
2025-11-09,21.1,0,0
2025-11-30,21.1,0,0
2025-12-22,21.1,0,0
2025-12-28,21.1,0,0
