date,temperature,precipitation,wind_speed
2019-09-08,28.0,0.0,6.1
2019-09-09,28.8,0.0,8.3
2019-09-10,27.9,0.0,7.6
2019-09-11,27.4,0.0,12.2
2019-09-12,27.6,0.0,13.7
2019-09-13,27.0,0.0,17.3
2019-09-14,28.1,8.9,22.0
2019-09-15,27.9,5.1,17.6
2019-09-16,27.7,0.3,11.9
2019-09-17,26.9,0.0,6.1
2019-09-18,25.6,7.1,9.0
2019-09-19,25.7,10.9,20.2
2019-09-20,25.7,0.5,14.8
2019-09-21,26.1,0.0,14.8
2019-09-22,25.7,0.0,9.7
2019-09-23,24.5,0.0,6.1
2019-09-24,24.8,0.0,6.1
2019-09-25,27.4,0.0,10.8
2019-09-26,27.9,0.0,10.4
2019-09-27,27.4,0.0,10.8
2019-09-28,25.7,0.0,7.6
2019-09-29,26.2,0.0,10.4
2019-09-30,26.9,0.0,10.4
2019-10-01,26.9,3.6,13.3
2019-10-02,26.4,0.0,7.9
2019-10-03,25.5,0.0,5.4
2019-10-04,24.2,0.0,5.4
2019-10-05,25.2,1.0,12.2
2019-10-06,26.2,3.6,17.6
2019-10-07,24.9,98.0,12.2
2019-10-08,24.9,7.6,11.9
2019-10-09,24.9,0.0,17.6
2019-10-10,24.9,0.0,18.7
2019-10-11,24.0,0.0,10.4
2019-10-12,22.9,0.0,5.8
2019-10-13,23.3,0.0,7.6
2019-10-14,24.3,0.0,5.4
2019-10-15,24.8,0.5,7.9
2019-10-16,26.1,2.8,17.3
2019-10-17,20.7,0.0,9.4
2019-10-18,18.8,0.3,6.1
2019-10-19,23.8,15.2,20.9
2019-10-20,24.3,0.0,15.1
2019-10-21,22.0,9.7,7.9
2019-10-22,26.1,2.3,14.0
2019-10-23,20.3,0.0,11.5
2019-10-24,22.3,0.0,9.4
2019-10-25,25.6,0.3,14.4
2019-10-26,26.1,1.0,17.3
2019-10-27,25.7,0.0,11.5
2019-10-28,24.9,0.0,3.2
2019-10-29,24.9,21.1,5.8
2019-10-30,25.8,0.0,9.0
2019-10-31,27.0,0.0,14.0
2019-11-01,17.2,0.0,16.9
2019-11-02,17.4,0.0,12.2
2019-11-03,16.9,0.0,15.1
2019-11-04,21.7,0.0,13.0
2019-11-05,23.1,0.5,7.6
2019-11-06,22.4,0.0,15.5
2019-11-07,24.2,0.0,9.0
2019-11-08,20.4,5.1,16.9
2019-11-09,16.9,0.8,18.4
2019-11-10,13.9,0.0,7.9
2019-11-11,16.1,0.0,3.2
2019-11-12,18.6,0.5,13.7
2019-11-13,10.7,0.0,20.5
2019-11-14,13.9,3.0,16.9
2019-11-15,14.3,55.6,14.4
2019-11-16,11.6,0.5,21.2
2019-11-17,10.6,0.0,11.5
2019-11-18,14.1,0.0,8.3
2019-11-19,14.3,0.0,10.8
2019-11-20,13.5,0.0,9.4
2019-11-21,14.2,0.0,7.2
2019-11-22,16.7,0.0,4.0
2019-11-23,18.3,1.0,13.0
2019-11-24,16.8,0.0,13.0
2019-11-25,11.8,0.0,2.5
2019-11-26,12.5,0.0,2.5
2019-11-27,16.6,0.0,6.8
2019-11-28,19.2,0.0,9.7
2019-11-29,14.7,0.0,6.5
2019-11-30,15.9,0.0,5.8
2019-12-01,20.9,0.0,23.0
2019-12-02,15.9,0.0,21.2
2019-12-03,8.2,0.0,13.7
2019-12-04,10.8,0.0,12.6
2019-12-05,12.4,0.0,6.8
2019-12-06,12.7,0.0,3.2
2019-12-07,14.1,0.0,7.9
2019-12-08,16.9,1.5,14.8
2019-12-09,18.9,0.0,6.1
2019-12-10,20.2,2.0,7.9
2019-12-11,17.5,0.3,17.3
2019-12-12,16.3,2.8,20.5
2019-12-13,19.2,42.4,6.8
2019-12-14,17.7,5.1,13.0
2019-12-15,12.4,0.0,3.2
2019-12-16,16.3,0.0,9.4
2019-12-17,22.4,6.4,15.1
2019-12-18,12.6,0.0,20.5
2019-12-19,9.3,0.0,18.4
2019-12-20,13.8,0.5,22.7
2019-12-21,15.5,2.0,16.9
2019-12-22,18.2,31.0,16.6
2019-12-23,18.0,20.1,11.2
2019-12-24,15.8,6.9,23.4
2019-12-25,16.1,0.0,18.0
2019-12-26,16.0,0.0,11.9
2019-12-27,19.3,0.5,9.7
2019-12-28,19.9,2.3,8.3
2019-12-29,20.9,5.8,10.8
2019-12-30,22.9,0.0,17.3
2019-12-31,15.3,0.0,12.2
2020-01-01,11.9,0.0,7.2
2020-01-02,14.8,0.0,8.6
2020-01-03,22.4,0.0,16.6
2020-01-04,22.1,4.6,21.6
2020-01-05,11.6,0.0,14.4
2020-01-06,10.7,0.0,7.6
2020-01-07,13.2,0.0,11.5
2020-01-08,11.8,0.0,9.0
2020-01-09,12.4,0.0,11.2
2020-01-10,21.0,0.0,14.8
2020-01-11,22.3,0.0,21.6
2020-01-12,23.3,0.0,14.4
2020-01-13,22.8,0.0,10.4
2020-01-14,20.3,0.0,6.8
2020-01-15,21.9,0.0,5.8
2020-01-16,20.9,0.0,9.7
2020-01-17,17.5,0.0,23.4
2020-01-18,18.6,0.0,15.1
2020-01-19,19.3,2.0,19.8
2020-01-20,9.1,0.0,17.6
2020-01-21,5.9,0.0,19.8
