date,temperature,precipitation,wind_speed
2019-09-22,22.3,23.1,12.9
2019-09-23,21.2,0.0,4.5
2019-09-24,23.1,0.0,12.6
2019-09-25,24.8,0.0,13.3
2019-09-26,21.4,0.0,12.2
2019-09-27,26.9,3.6,23.0
2019-09-28,19.4,59.2,12.5
2019-09-29,25.8,7.1,15.9
2019-09-30,27.8,0.0,23.7
2019-10-01,28.1,0.0,22.3
2019-10-02,24.8,16.5,12.7
2019-10-03,13.7,0.0,13.8
2019-10-04,13.4,2.1,11.8
2019-10-05,17.8,8.6,11.3
2019-10-06,12.9,0.0,2.4
2019-10-07,14.1,0.0,3.3
2019-10-08,15.9,0.0,11.1
2019-10-09,15.3,1.0,14.9
2019-10-10,16.8,0.8,15.2
2019-10-11,5.9,0.0,19.6
2019-10-12,10.0,0.0,18.2
2019-10-13,11.0,0.0,5.7
2019-10-14,14.1,0.0,9.6
2019-10-15,16.2,0.0,19.1
2019-10-16,9.0,0.0,7.7
2019-10-17,13.0,0.0,8.8
2019-10-18,16.6,0.0,16.8
2019-10-19,14.2,4.6,6.6
2019-10-20,13.4,0.0,10.7
2019-10-21,11.7,0.0,22.9
2019-10-22,9.9,0.0,19.3
2019-10-23,13.8,0.0,16.5
2019-10-24,7.1,0.0,14.2
2019-10-25,8.3,0.0,8.0
2019-10-26,8.6,0.0,3.4
2019-10-27,9.1,0.0,7.6
2019-10-28,4.1,3.8,15.4
2019-10-29,1.5,0.0,12.6
2019-10-30,1.3,2.8,17.0
2019-10-31,0.2,0.3,14.1
2019-11-01,5.5,0.0,11.3
2019-11-02,5.0,0.0,11.7
2019-11-03,10.1,0.0,17.4
2019-11-04,9.3,0.0,10.2
2019-11-05,8.5,0.0,5.5
2019-11-06,9.5,0.0,11.4
2019-11-07,0.1,0.0,15.4
2019-11-08,1.4,0.0,9.8
2019-11-09,9.6,0.0,12.8
2019-11-10,10.7,0.0,13.8
2019-11-11,-3.9,1.3,27.8
2019-11-12,-7.7,0.0,11.4
2019-11-13,0.2,0.0,13.9
2019-11-14,2.7,0.0,8.0
2019-11-15,4.7,0.0,4.1
2019-11-16,8.4,0.0,10.1
2019-11-17,8.0,0.0,11.4
2019-11-18,7.2,0.0,6.8
2019-11-19,10.8,0.0,6.1
2019-11-20,14.3,3.0,18.0
2019-11-21,8.1,4.3,22.3
2019-11-22,1.7,0.0,13.1
2019-11-23,3.5,0.0,11.1
2019-11-24,7.4,0.0,9.0
2019-11-25,9.6,0.0,10.8
2019-11-26,6.0,1.5,14.0
2019-11-27,2.5,1.0,20.3
2019-11-28,0.7,3.6,9.4
2019-11-29,3.4,9.7,10.6
2019-11-30,8.8,0.3,22.4
2019-12-01,1.8,0.0,31.3
2019-12-02,0.7,0.0,9.6
2019-12-03,5.4,0.0,9.0
2019-12-04,6.4,0.0,7.4
2019-12-05,7.2,0.0,4.2
2019-12-06,2.7,0.0,15.0
2019-12-07,3.5,0.0,7.3
2019-12-08,8.3,0.0,10.9
2019-12-09,2.3,0.0,17.6
2019-12-10,-3.4,0.0,8.0
2019-12-11,2.6,0.0,8.8
2019-12-12,7.6,0.0,17.6
2019-12-13,6.3,0.0,4.3
2019-12-14,-1.0,0.0,16.8
2019-12-15,-3.9,5.8,12.5
2019-12-16,-4.6,0.0,11.8
2019-12-17,-4.4,0.0,11.2
2019-12-18,-2.4,0.0,7.9
2019-12-19,4.3,0.0,12.0
2019-12-20,4.9,0.0,10.3
2019-12-21,4.3,0.0,7.1
2019-12-22,4.7,0.0,8.5
2019-12-23,7.1,0.0,6.2
2019-12-24,11.9,0.0,14.0
2019-12-25,14.7,0.0,21.5
2019-12-26,4.6,0.0,13.2
2019-12-27,2.1,0.0,8.8
2019-12-28,10.0,38.1,12.4
2019-12-29,5.0,0.0,23.8
2019-12-30,0.7,0.0,26.0
2019-12-31,1.6,0.0,16.4
2020-01-01,5.8,0.0,19.3
2020-01-02,7.1,0.0,11.8
2020-01-03,4.4,0.0,13.4
2020-01-04,2.1,0.0,15.4
2020-01-05,5.7,0.0,15.0
2020-01-06,1.7,0.0,4.1
2020-01-07,4.4,0.0,11.1
2020-01-08,4.9,0.0,14.4
2020-01-09,13.6,0.0,26.3
2020-01-10,2.9,34.5,18.6
2020-01-11,-7.1,7.9,15.0
2020-01-12,-2.9,0.0,9.1
2020-01-13,1.1,0.0,9.3
2020-01-14,5.0,0.0,7.3
2020-01-15,3.6,0.0,15.4
2020-01-16,-7.1,0.0,16.0
2020-01-17,-0.7,10.2,16.1
2020-01-18,-0.5,0.8,19.3
2020-01-19,-8.5,0.0,16.7
2020-01-20,-10.3,1.0,10.0
2020-01-21,-6.2,0.0,9.4
2020-01-22,1.4,7.1,14.7
2020-01-23,1.8,5.1,8.3
2020-01-24,0.5,3.6,16.4
2020-01-25,-0.6,0.0,7.2
2020-01-26,-0.5,0.0,2.9
2020-01-27,0.5,0.0,7.8
2020-01-28,-0.1,0.0,11.9
2020-01-29,-0.6,0.8,7.6
2020-01-30,1.4,0.0,6.3
2020-01-31,2.2,0.0,8.5
2020-02-01,5.6,0.0,12.1
2020-02-02,10.4,0.0,9.8
2020-02-03,6.4,0.0,13.9
2020-02-04,0.5,0.0,20.2
2020-02-05,-2.1,0.3,13.8
2020-02-06,-1.6,0.0,6.1
2020-02-07,-0.4,0.0,13.8
2020-02-08,-0.3,0.0,8.2
2020-02-09,5.8,0.0,16.8
2020-02-10,1.3,0.0,8.5
2020-02-11,2.4,0.0,6.9
2020-02-12,0.8,9.4,8.6
2020-02-13,-12.1,0.0,18.6
2020-02-14,-8.2,0.0,10.6
2020-02-15,2.1,0.0,12.1
2020-02-16,4.0,0.0,6.7
2020-02-17,8.1,0.0,11.7
2020-02-18,2.3,0.0,14.8
2020-02-19,0.3,0.0,11.3
2020-02-20,-3.5,0.0,15.1
2020-02-21,-1.0,0.0,13.2
2020-02-22,5.8,0.0,16.7
2020-02-23,11.0,0.0,9.6
2020-02-24,6.2,7.6,19.8
2020-02-25,3.7,0.0,18.7
2020-02-26,0.9,0.0,17.8
2020-02-27,1.5,0.0,12.1
2020-02-28,4.8,0.0,11.1
2020-02-29,8.9,0.0,12.5
2020-03-01,14.3,0.0,18.5
2020-03-02,6.4,0.0,9.2
2020-03-03,9.1,0.0,11.0
2020-03-04,10.6,0.0,9.7
2020-03-05,9.8,0.0,23.8
2020-03-06,6.6,0.0,10.7
2020-03-07,12.5,0.0,18.0
2020-03-08,15.2,0.0,32.6
2020-03-09,9.7,43.9,21.0
2020-03-10,6.0,0.0,9.2
2020-03-11,11.5,0.0,5.3
2020-03-12,13.6,1.6,16.2
2020-03-13,6.2,0.0,11.6
2020-03-14,3.6,8.9,15.4
2020-03-15,2.7,0.0,13.9
2020-03-16,4.4,3.3,7.7
2020-03-17,7.4,0.0,10.7
2020-03-18,12.4,13.5,6.1
2020-03-19,18.2,13.0,17.3
2020-03-20,4.1,0.0,25.5
2020-03-21,2.7,0.0,8.0
2020-03-22,5.4,6.1,11.0
2020-03-23,7.5,0.0,9.3
2020-03-24,8.4,0.5,12.8
2020-03-25,12.7,0.0,12.8
2020-03-26,15.3,1.8,11.3
2020-03-27,13.5,19.0,9.4
