date,temperature,precipitation,wind_speed
2019-09-08,21.4,0.0,7.4
2019-09-09,21.7,0.0,6.5
2019-09-10,21.7,0.0,12.1
2019-09-11,21.9,0.0,8.9
2019-09-12,22.4,0.0,7.3
2019-09-13,23.8,0.0,7.0
2019-09-14,24.9,0.0,6.6
2019-09-15,21.9,0.0,5.9
2019-09-16,21.9,0.0,7.1
2019-09-17,22.0,0.0,8.0
2019-09-18,21.9,0.0,9.6
2019-09-19,21.5,0.0,10.0
2019-09-20,21.3,0.0,7.9
2019-09-21,22.3,0.0,7.1
2019-09-22,23.5,0.0,4.1
2019-09-23,21.4,0.0,7.5
2019-09-24,21.6,0.0,7.6
2019-09-25,22.7,0.0,10.1
2019-09-26,22.4,0.0,10.2
2019-09-27,20.9,0.0,10.9
2019-09-28,19.9,0.0,9.6
2019-09-29,18.9,0.0,8.0
2019-09-30,18.5,0.0,7.5
2019-10-01,18.7,0.0,6.0
2019-10-02,19.5,0.0,7.3
2019-10-03,19.2,0.0,6.1
2019-10-04,19.3,0.0,5.2
2019-10-05,20.1,0.0,5.0
2019-10-06,20.3,0.0,4.6
2019-10-07,20.1,0.0,6.3
2019-10-08,19.3,0.0,6.4
2019-10-09,18.9,0.0,6.2
2019-10-10,20.5,0.0,6.4
2019-10-11,22.8,0.0,5.1
2019-10-12,20.3,0.0,6.3
2019-10-13,18.2,0.0,6.3
2019-10-14,18.8,0.0,6.8
2019-10-15,19.5,0.0,5.6
2019-10-16,21.6,0.0,5.5
2019-10-17,19.6,0.0,7.1
2019-10-18,19.6,0.0,6.1
2019-10-19,19.1,0.0,6.1
2019-10-20,21.1,0.0,5.5
2019-10-21,24.4,0.0,4.8
2019-10-22,24.7,0.0,4.6
2019-10-23,23.1,0.0,4.4
2019-10-24,25.6,0.0,3.0
2019-10-25,25.0,0.0,4.9
2019-10-26,22.8,0.0,5.0
2019-10-27,18.7,0.0,11.4
2019-10-28,18.3,0.0,4.9
2019-10-29,16.7,0.0,4.2
2019-10-30,17.9,0.0,6.5
2019-10-31,17.4,0.0,4.4
2019-11-01,18.3,0.0,4.6
2019-11-02,17.1,0.0,2.7
2019-11-03,16.9,0.0,3.5
2019-11-04,17.3,0.0,4.9
2019-11-05,17.4,0.0,5.3
2019-11-06,16.2,0.0,4.4
2019-11-07,17.3,0.0,5.6
2019-11-08,19.3,0.0,3.8
2019-11-09,20.9,0.0,3.6
2019-11-10,17.6,0.0,6.6
2019-11-11,17.5,0.0,6.4
2019-11-12,17.3,0.0,6.3
2019-11-13,16.5,0.0,5.7
2019-11-14,16.7,0.0,6.1
2019-11-15,16.7,0.0,4.5
2019-11-16,17.2,0.0,3.8
2019-11-17,21.8,0.0,2.3
2019-11-18,23.2,0.0,4.8
2019-11-19,18.9,0.3,4.8
2019-11-20,14.1,8.9,13.4
2019-11-21,14.8,0.3,4.0
2019-11-22,16.3,0.0,4.8
2019-11-23,17.4,0.0,2.9
2019-11-24,17.2,0.0,3.7
2019-11-25,15.4,0.0,5.9
2019-11-26,15.3,0.0,4.2
2019-11-27,12.7,6.9,9.1
2019-11-28,9.4,19.8,8.1
2019-11-29,10.3,0.3,7.3
2019-11-30,11.6,0.0,4.1
2019-12-01,13.8,0.0,1.2
2019-12-02,14.8,0.0,3.5
2019-12-03,15.9,0.0,1.6
2019-12-04,14.8,24.9,6.5
2019-12-05,15.3,0.0,2.6
2019-12-06,15.8,1.3,3.2
2019-12-07,17.0,0.0,4.1
2019-12-08,16.1,1.3,6.4
2019-12-09,15.2,0.0,7.9
2019-12-10,14.6,0.0,3.6
2019-12-11,14.2,0.0,3.6
2019-12-12,16.0,0.0,3.5
2019-12-13,15.2,0.0,3.9
2019-12-14,15.9,0.0,6.1
2019-12-15,14.3,0.0,9.9
2019-12-16,14.0,0.0,2.9
2019-12-17,14.3,0.0,5.5
2019-12-18,12.2,0.0,3.2
2019-12-19,12.8,0.0,2.5
2019-12-20,16.7,0.0,2.1
2019-12-21,16.5,0.0,1.6
2019-12-22,15.1,25.1,12.8
2019-12-23,12.0,21.6,10.6
2019-12-24,12.1,0.0,6.3
2019-12-25,11.9,28.7,8.4
2019-12-26,10.4,9.4,7.5
