date,temperature,precipitation,wind_speed
2019-09-15,23.6,0.0,2.6
2019-09-16,22.7,0.0,2.4
2019-09-17,23.1,0.0,2.7
2019-09-18,23.0,0.0,2.2
2019-09-19,22.5,0.0,3.8
2019-09-20,22.4,0.0,3.2
2019-09-21,23.7,0.0,2.8
2019-09-22,25.3,0.0,1.3
2019-09-23,22.7,0.0,2.0
2019-09-24,23.1,0.0,2.2
2019-09-25,24.3,0.0,3.7
2019-09-26,23.3,0.0,3.0
2019-09-27,21.9,0.0,4.3
2019-09-28,20.8,0.0,0.8
2019-09-29,19.5,0.0,1.7
2019-09-30,18.7,0.0,2.7
2019-10-01,19.6,0.0,3.8
2019-10-02,20.5,0.0,2.4
2019-10-03,20.2,0.0,1.2
2019-10-04,20.1,0.0,2.5
2019-10-05,21.4,0.0,1.2
2019-10-06,21.8,0.0,1.5
2019-10-07,21.7,0.0,2.0
2019-10-08,20.8,0.0,1.9
2019-10-09,20.1,0.0,2.2
2019-10-10,21.9,0.0,1.8
2019-10-11,23.0,0.0,2.6
2019-10-12,21.7,0.0,2.4
2019-10-13,19.2,0.0,2.4
2019-10-14,19.5,0.0,1.8
2019-10-15,20.9,0.0,2.6
2019-10-16,23.2,0.0,1.2
2019-10-17,21.0,0.0,3.9
2019-10-18,20.6,0.0,3.4
2019-10-19,20.4,0.0,2.6
2019-10-20,22.6,0.0,3.4
2019-10-21,25.6,0.0,2.5
2019-10-22,25.4,0.0,1.6
2019-10-23,24.5,0.0,0.8
2019-10-24,26.3,0.0,1.1
2019-10-25,25.4,0.0,2.1
2019-10-26,23.8,0.0,1.8
2019-10-27,20.0,0.0,4.2
2019-10-28,19.0,0.0,1.1
2019-10-29,17.6,0.0,2.7
2019-10-30,18.8,0.0,4.0
2019-10-31,18.4,0.0,3.2
2019-11-01,19.7,0.0,4.3
2019-11-02,19.4,0.0,1.1
2019-11-03,18.5,0.0,1.5
2019-11-04,18.5,0.0,1.6
2019-11-05,18.7,0.0,1.4
2019-11-06,17.3,0.0,1.3
2019-11-07,18.8,0.0,2.1
2019-11-08,20.9,0.0,1.3
2019-11-09,22.6,0.0,1.5
2019-11-10,18.6,0.0,1.7
2019-11-11,18.7,0.0,2.0
2019-11-12,18.4,0.0,1.6
2019-11-13,17.7,0.0,2.0
2019-11-14,17.6,0.0,1.2
2019-11-15,17.5,0.0,0.9
2019-11-16,18.5,0.0,0.9
2019-11-17,22.6,0.0,0.8
2019-11-18,24.4,0.0,3.1
2019-11-19,20.1,0.3,1.3
2019-11-20,14.8,8.9,5.0
2019-11-21,16.1,0.0,2.5
2019-11-22,16.9,0.0,2.1
2019-11-23,18.2,0.0,0.7
2019-11-24,17.5,0.0,1.5
2019-11-25,16.1,0.0,2.7
2019-11-26,15.8,0.0,1.2
2019-11-27,12.9,6.9,3.6
2019-11-28,10.2,19.8,9.0
2019-11-29,10.5,0.3,3.0
2019-11-30,12.5,0.0,3.4
2019-12-01,14.2,0.0,0.5
2019-12-02,15.5,0.0,1.3
2019-12-03,16.5,0.0,0.5
2019-12-04,15.3,24.9,4.5
2019-12-05,16.1,0.0,1.2
2019-12-06,16.7,1.3,1.2
2019-12-07,17.8,0.0,2.5
2019-12-08,16.6,1.3,2.0
2019-12-09,15.6,0.0,1.4
2019-12-10,15.3,0.0,1.0
2019-12-11,15.1,0.0,1.5
2019-12-12,17.0,0.0,0.2
2019-12-13,16.3,0.0,1.1
2019-12-14,16.6,0.0,1.3
2019-12-15,14.7,0.0,5.8
2019-12-16,14.5,0.0,2.3
2019-12-17,14.3,0.0,2.9
2019-12-18,13.2,0.0,2.7
2019-12-19,13.3,0.0,1.1
2019-12-20,17.1,0.0,2.2
2019-12-21,17.1,0.0,1.2
2019-12-22,16.4,11.5,6.6
2019-12-23,13.0,21.6,11.1
2019-12-24,12.7,0.0,2.3
2019-12-25,13.0,28.7,7.0
2019-12-26,10.6,9.4,7.9
2019-12-27,12.4,0.0,2.2
2019-12-28,12.3,0.0,0.4
2019-12-29,12.5,0.0,1.3
2019-12-30,14.8,0.0,3.6
2019-12-31,15.9,0.0,0.7
2020-01-01,15.4,0.0,2.5
2020-01-02,15.0,0.0,2.3
2020-01-03,16.3,0.0,1.3
2020-01-04,14.9,0.0,0.9
2020-01-05,14.6,0.0,1.0
2020-01-06,17.2,0.0,1.0
2020-01-07,17.8,0.0,4.0
