date,temperature,precipitation,wind_speed
2019-09-08,30.2,0.0,9.7
2019-09-09,30.5,0.0,15.2
2019-09-10,30.3,0.0,19.1
2019-09-11,29.9,0.0,22.0
2019-09-12,28.7,1.8,19.1
2019-09-13,29.0,5.6,21.3
2019-09-14,29.2,0.5,15.4
2019-09-15,29.5,0.5,12.9
2019-09-16,30.0,0.0,13.9
2019-09-17,29.9,0.0,13.6
2019-09-18,29.3,0.0,16.0
2019-09-19,28.4,0.0,24.4
2019-09-20,27.9,0.5,27.1
2019-09-21,28.3,1.3,32.6
2019-09-22,28.4,0.0,28.5
2019-09-23,28.3,0.0,19.4
2019-09-24,27.2,0.0,13.5
2019-09-25,27.1,0.0,11.5
2019-09-26,27.4,0.0,11.0
2019-09-27,28.5,0.0,14.6
2019-09-28,29.3,0.0,15.7
2019-09-29,28.8,0.8,20.3
2019-09-30,29.1,0.0,27.1
2019-10-01,28.5,1.0,25.6
2019-10-02,27.8,0.8,20.9
2019-10-03,27.7,0.5,16.5
2019-10-04,27.5,9.1,11.9
2019-10-05,28.2,0.8,17.4
2019-10-06,27.6,3.3,19.1
2019-10-07,26.3,27.9,9.6
2019-10-08,26.9,10.2,13.3
2019-10-09,27.3,1.0,8.2
2019-10-10,26.9,0.0,10.5
2019-10-11,26.9,22.1,15.9
2019-10-12,27.6,0.0,19.4
2019-10-13,28.0,0.0,16.9
2019-10-14,27.5,0.0,11.8
2019-10-15,27.0,0.0,9.6
2019-10-16,28.6,0.0,9.7
2019-10-17,27.9,0.0,9.8
2019-10-18,28.4,0.0,7.4
2019-10-19,28.9,4.1,16.1
2019-10-20,29.7,0.0,13.0
2019-10-21,29.2,0.0,8.5
2019-10-22,29.0,0.0,8.1
2019-10-23,28.6,0.0,8.5
2019-10-24,29.0,0.0,19.8
2019-10-25,28.9,1.5,22.8
2019-10-26,27.9,9.9,10.8
2019-10-27,28.5,0.0,8.1
2019-10-28,28.8,0.0,9.0
2019-10-29,28.8,0.0,14.0
2019-10-30,28.9,1.0,15.7
2019-10-31,28.7,0.0,9.9
2019-11-01,28.5,0.0,6.5
2019-11-02,28.2,0.0,9.4
2019-11-03,26.2,17.0,12.4
2019-11-04,27.3,1.8,11.2
2019-11-05,27.8,1.0,8.1
2019-11-06,27.2,0.0,14.3
2019-11-07,27.5,0.0,14.2
2019-11-08,27.0,0.0,5.5
2019-11-09,23.2,7.1,17.6
2019-11-10,24.1,1.8,16.2
2019-11-11,25.6,0.0,13.8
2019-11-12,25.6,0.0,7.2
2019-11-13,23.7,44.7,15.5
2019-11-14,24.1,57.2,12.5
2019-11-15,24.6,14.5,8.3
2019-11-16,20.6,0.0,19.1
2019-11-17,15.8,0.0,17.4
2019-11-18,18.0,0.0,11.0
2019-11-19,21.1,0.0,8.1
2019-11-20,19.4,0.0,12.3
2019-11-21,20.9,0.0,11.8
2019-11-22,23.6,0.0,7.9
2019-11-23,23.4,0.0,7.0
2019-11-24,23.9,5.1,11.1
2019-11-25,19.0,0.0,8.7
2019-11-26,20.6,0.0,4.6
2019-11-27,22.3,0.0,4.1
2019-11-28,23.1,0.0,8.2
2019-11-29,22.6,0.0,12.3
2019-11-30,22.4,0.0,5.8
2019-12-01,23.6,0.0,8.4
2019-12-02,23.3,0.8,21.4
2019-12-03,15.1,0.0,13.6
2019-12-04,17.6,0.0,7.3
2019-12-05,16.8,0.0,9.2
2019-12-06,19.6,0.0,6.3
2019-12-07,20.8,0.0,5.0
2019-12-08,22.0,2.1,9.3
2019-12-09,22.9,0.8,8.6
2019-12-10,26.0,0.0,13.6
2019-12-11,25.6,15.7,10.1
2019-12-12,23.9,23.1,12.2
2019-12-13,24.5,2.0,8.4
2019-12-14,24.4,0.0,15.6
2019-12-15,21.5,0.0,10.9
2019-12-16,25.6,0.0,18.8
2019-12-17,26.8,0.0,17.1
2019-12-18,22.8,0.0,13.5
2019-12-19,19.0,6.6,20.1
2019-12-20,22.8,1.0,26.6
2019-12-21,23.7,2.0,26.5
2019-12-22,24.4,6.1,21.4
2019-12-23,22.2,181.1,13.6
2019-12-24,19.3,0.0,20.6
2019-12-25,21.6,0.3,16.1
2019-12-26,24.1,3.0,19.2
2019-12-27,25.3,3.6,19.2
2019-12-28,25.2,1.3,20.8
2019-12-29,25.1,0.5,18.8
2019-12-30,24.9,0.3,9.6
2019-12-31,23.1,0.0,9.2
2020-01-01,20.3,0.0,6.2
2020-01-02,22.8,0.0,9.6
2020-01-03,25.9,0.0,15.4
2020-01-04,25.8,3.3,17.8
2020-01-05,17.8,0.0,21.0
2020-01-06,17.7,0.0,14.1
2020-01-07,20.0,0.0,8.8
2020-01-08,19.7,0.0,14.8
2020-01-09,23.9,0.0,29.3
2020-01-10,25.1,0.0,30.1
2020-01-11,25.9,1.0,25.0
2020-01-12,25.8,0.8,19.9
2020-01-13,25.3,0.3,20.3
2020-01-14,25.3,0.0,16.6
2020-01-15,23.1,0.0,9.2
2020-01-16,22.8,0.0,7.1
2020-01-17,23.2,3.8,19.6
2020-01-18,23.4,0.0,26.1
2020-01-19,23.3,0.0,9.4
2020-01-20,21.3,0.0,13.3
2020-01-21,14.6,0.0,25.3
2020-01-22,10.7,0.5,25.1
2020-01-23,17.5,23.6,10.0
2020-01-24,21.2,5.1,6.7
2020-01-25,20.5,0.0,8.7
2020-01-26,17.2,0.0,10.8
2020-01-27,19.6,0.0,8.3
2020-01-28,20.5,0.0,8.4
2020-01-29,21.6,0.0,11.0
2020-01-30,21.6,0.0,13.0
2020-01-31,21.8,8.1,9.8
2020-02-01,21.0,40.1,15.0
2020-02-02,15.9,0.0,16.7
2020-02-03,16.3,0.0,5.0
2020-02-04,20.2,0.0,9.0
2020-02-05,22.8,0.0,11.6
2020-02-06,26.2,0.0,22.1
2020-02-07,22.0,10.7,17.0
2020-02-08,19.9,0.0,15.9
2020-02-09,23.6,0.0,24.8
2020-02-10,24.8,0.0,21.6
2020-02-11,25.7,0.0,15.9
2020-02-12,25.7,0.0,13.4
2020-02-13,26.6,0.0,16.8
2020-02-14,25.5,0.8,6.8
2020-02-15,22.8,20.1,16.7
2020-02-16,24.3,5.3,14.8
2020-02-17,24.4,0.0,7.4
2020-02-18,25.6,0.0,15.1
