date,temperature,precipitation,wind_speed
2019-09-08,13.8,3.0,10.5
2019-09-09,16.0,4.8,16.1
2019-09-10,21.5,0.0,9.9
2019-09-11,16.5,31.5,12.8
2019-09-12,16.2,29.7,18.8
2019-09-13,14.9,0.0,21.4
2019-09-14,16.2,0.0,8.6
2019-09-15,19.9,0.0,3.7
2019-09-16,22.8,0.0,13.4
2019-09-17,25.7,0.0,21.6
2019-09-18,23.3,3.6,18.1
2019-09-19,21.6,0.0,2.9
2019-09-20,23.6,0.0,12.6
2019-09-21,24.2,2.5,20.2
2019-09-22,16.9,0.3,10.9
2019-09-23,17.1,0.0,9.7
2019-09-24,18.6,0.0,6.6
2019-09-25,16.9,0.0,18.7
2019-09-26,14.7,0.0,13.9
2019-09-27,16.1,0.0,15.7
2019-09-28,12.0,0.0,13.0
2019-09-29,12.0,7.6,15.2
2019-09-30,22.1,6.1,16.3
2019-10-01,12.2,15.0,13.3
2019-10-02,9.5,10.7,15.7
2019-10-03,8.7,2.0,14.8
2019-10-04,8.2,0.0,9.8
2019-10-05,10.3,26.7,20.2
2019-10-06,12.8,0.0,19.9
2019-10-07,12.6,0.0,10.8
2019-10-08,15.1,0.0,19.9
2019-10-09,16.6,0.0,20.5
2019-10-10,13.5,10.4,16.0
2019-10-11,3.2,1.3,25.6
2019-10-12,2.2,1.8,26.8
2019-10-13,3.3,0.8,17.3
2019-10-14,5.2,0.0,9.2
2019-10-15,7.0,2.0,14.3
2019-10-16,6.4,0.0,13.6
2019-10-17,7.1,0.0,7.1
2019-10-18,13.4,0.0,24.8
2019-10-19,13.1,0.8,10.4
2019-10-20,10.6,0.0,7.5
2019-10-21,10.5,26.9,13.5
2019-10-22,6.2,4.8,25.8
2019-10-23,4.2,0.0,13.1
2019-10-24,2.9,0.0,11.6
2019-10-25,5.2,0.0,13.9
2019-10-26,8.1,0.0,17.5
2019-10-27,3.8,0.0,13.6
2019-10-28,0.3,0.0,13.6
2019-10-29,-0.6,0.0,9.7
2019-10-30,-2.7,0.0,9.8
2019-10-31,-1.6,0.0,9.9
2019-11-01,2.6,1.8,12.5
2019-11-02,0.4,0.5,12.7
2019-11-03,1.7,0.0,6.3
2019-11-04,2.4,3.3,18.0
2019-11-05,-3.2,0.0,13.7
2019-11-06,-3.3,0.0,13.8
2019-11-07,-7.5,0.0,9.6
2019-11-08,-3.8,0.0,14.5
2019-11-09,1.2,1.0,9.8
2019-11-10,-3.5,0.3,18.2
2019-11-11,-10.5,0.0,20.5
2019-11-12,-11.0,0.0,15.0
2019-11-13,-4.5,1.3,11.2
2019-11-14,-3.1,0.0,14.1
2019-11-15,1.3,0.0,7.8
2019-11-16,3.6,0.0,22.2
2019-11-17,2.0,1.3,13.1
2019-11-18,0.9,0.0,7.9
2019-11-19,3.4,3.6,6.1
2019-11-20,5.2,0.0,9.8
2019-11-21,0.6,10.9,20.4
2019-11-22,-4.8,0.0,11.1
2019-11-23,1.4,0.0,13.4
2019-11-24,4.5,0.0,9.6
2019-11-25,4.4,0.0,20.6
2019-11-26,1.4,4.8,16.5
2019-11-27,-1.3,16.8,25.6
2019-11-28,-3.6,0.0,8.6
2019-11-29,-0.7,2.0,9.5
2019-11-30,0.0,9.9,18.6
2019-12-01,-2.6,1.8,19.6
2019-12-02,-7.7,0.0,7.3
2019-12-03,-1.9,0.0,12.4
2019-12-04,0.0,0.0,12.8
2019-12-05,-1.3,0.0,10.1
2019-12-06,-5.4,0.0,11.6
2019-12-07,-1.1,0.0,14.0
2019-12-08,1.0,0.0,10.8
2019-12-09,-7.8,4.1,19.5
2019-12-10,-18.8,0.0,12.1
2019-12-11,-17.3,0.0,8.0
2019-12-12,-9.9,3.0,10.0
2019-12-13,-9.6,1.0,4.4
2019-12-14,-11.5,0.0,18.2
2019-12-15,-14.7,0.0,8.8
2019-12-16,-6.2,0.0,10.5
2019-12-17,-7.5,0.0,15.4
2019-12-18,-15.5,0.0,11.2
2019-12-19,-8.2,0.0,4.3
2019-12-20,-3.3,0.0,14.7
2019-12-21,-1.1,0.0,11.7
2019-12-22,0.8,0.0,9.8
2019-12-23,-1.4,0.0,6.7
2019-12-24,1.8,0.0,10.3
2019-12-25,1.6,0.0,9.4
2019-12-26,-0.5,0.0,15.2
2019-12-27,-3.4,0.0,12.2
2019-12-28,-0.5,15.7,8.8
2019-12-29,2.3,10.2,12.2
2019-12-30,-1.9,10.7,17.8
2019-12-31,-7.4,0.0,15.8
2020-01-01,-4.2,0.0,11.9
2020-01-02,0.6,0.0,12.3
2020-01-03,-1.0,0.0,9.8
2020-01-04,-3.5,0.0,12.3
2020-01-05,-0.8,0.3,19.1
2020-01-06,-1.6,0.0,15.0
2020-01-07,-6.1,0.0,19.5
2020-01-08,-15.1,0.0,13.8
2020-01-09,-3.4,0.0,15.1
2020-01-10,-8.7,0.0,17.5
2020-01-11,-14.6,0.0,13.4
2020-01-12,-9.9,2.8,9.3
2020-01-13,-6.4,2.5,11.6
2020-01-14,-4.3,0.3,14.0
2020-01-15,-10.3,0.3,13.7
2020-01-16,-20.2,0.0,7.8
2020-01-17,-11.4,8.9,15.6
2020-01-18,-10.3,1.5,20.2
2020-01-19,-14.5,0.3,15.2
2020-01-20,-13.4,0.8,5.1
2020-01-21,-12.1,0.0,17.5
2020-01-22,-0.3,4.3,14.7
2020-01-23,0.0,1.5,7.6
2020-01-24,-0.8,0.0,12.3
2020-01-25,-1.5,0.0,14.8
2020-01-26,-3.4,0.0,6.5
2020-01-27,-4.4,0.0,10.5
2020-01-28,-7.8,0.0,6.5
2020-01-29,-7.1,0.0,2.2
2020-01-30,-5.7,0.0,11.0
2020-01-31,-1.3,1.3,10.8
2020-02-01,-0.0,0.0,13.4
2020-02-02,4.7,0.0,20.8
2020-02-03,-2.3,0.0,15.8
2020-02-04,-9.8,0.0,11.2
2020-02-05,-7.6,0.0,8.5
2020-02-06,-5.9,0.0,9.5
2020-02-07,-5.2,0.8,8.3
2020-02-08,-12.1,0.0,10.2
2020-02-09,-8.6,9.7,10.7
2020-02-10,-7.9,0.3,13.7
2020-02-11,-4.1,0.0,17.8
2020-02-12,-4.8,0.0,22.2
2020-02-13,-21.5,0.0,15.6
2020-02-14,-16.2,0.0,18.9
2020-02-15,-3.8,0.0,18.7
2020-02-16,-7.4,0.0,7.9
2020-02-17,-2.1,4.1,14.1
2020-02-18,-8.6,0.0,20.2
2020-02-19,-15.3,0.0,12.7
2020-02-20,-15.9,0.0,10.7
2020-02-21,-4.2,0.0,16.6
2020-02-22,-1.5,0.0,9.9
2020-02-23,1.2,0.0,15.1
2020-02-24,-0.4,0.0,8.8
2020-02-25,-0.7,0.0,12.8
2020-02-26,-4.9,0.0,15.0
2020-02-27,-7.2,0.0,11.4
2020-02-28,-6.6,0.0,9.2
2020-02-29,-2.7,0.0,15.9
2020-03-01,3.1,0.0,17.5
2020-03-02,0.2,0.0,16.9
2020-03-03,1.8,0.0,18.4
2020-03-04,0.3,0.0,13.6
2020-03-05,2.6,0.0,22.1
2020-03-06,-1.1,0.0,11.0
2020-03-07,6.0,0.0,21.4
2020-03-08,11.1,0.0,22.4
2020-03-09,2.5,0.0,16.7
2020-03-10,-0.0,1.0,8.1
2020-03-11,2.9,0.0,10.9
2020-03-12,4.3,2.3,18.2
2020-03-13,-0.9,0.0,22.0
2020-03-14,-3.1,0.0,9.9
2020-03-15,-1.0,0.0,9.7
2020-03-16,1.2,0.3,17.0
2020-03-17,1.9,0.0,14.7
2020-03-18,4.8,0.0,10.2
2020-03-19,3.9,12.2,14.7
2020-03-20,-2.5,0.0,22.5
2020-03-21,-2.4,0.0,12.7
2020-03-22,2.5,1.0,24.7
2020-03-23,3.3,3.0,8.0
2020-03-24,5.4,0.0,15.5
2020-03-25,5.7,7.9,9.6
2020-03-26,4.5,0.0,5.0
