date,temperature,precipitation,wind_speed
2019-09-08,18.9,0.0,9.0
2019-09-09,17.2,0.0,3.4
2019-09-10,19.0,0.0,4.6
2019-09-11,24.8,0.0,14.9
2019-09-12,17.1,2.8,7.5
2019-09-13,13.2,0.0,6.1
2019-09-14,15.0,5.1,7.8
2019-09-15,21.3,0.0,7.5
2019-09-16,17.8,0.0,6.6
2019-09-17,14.5,0.0,5.5
2019-09-18,14.2,0.0,11.2
2019-09-19,11.2,0.0,2.1
2019-09-20,15.0,0.0,3.6
2019-09-21,19.4,0.0,4.0
2019-09-22,21.2,0.0,7.9
2019-09-23,25.0,0.0,12.5
2019-09-24,21.9,1.0,13.4
2019-09-25,16.7,0.0,7.5
2019-09-26,17.4,4.9,8.4
2019-09-27,15.9,0.0,4.9
2019-09-28,19.0,0.0,9.6
2019-09-29,20.2,0.0,8.4
2019-09-30,14.3,0.0,8.4
2019-10-01,17.9,1.5,10.2
2019-10-02,21.3,10.7,12.7
2019-10-03,12.1,1.5,10.0
2019-10-04,12.9,1.3,12.0
2019-10-05,8.1,0.0,4.3
2019-10-06,12.0,0.0,10.7
2019-10-07,23.1,2.8,18.5
2019-10-08,15.8,0.0,6.0
2019-10-09,10.4,2.8,15.2
2019-10-10,10.0,5.1,30.2
2019-10-11,13.1,34.5,20.6
2019-10-12,13.1,4.5,9.9
2019-10-13,12.8,0.0,3.3
2019-10-14,14.2,0.0,3.6
2019-10-15,11.1,0.0,4.4
2019-10-16,10.3,4.6,9.6
2019-10-17,13.5,32.3,25.7
2019-10-18,11.8,0.0,14.1
2019-10-19,8.1,0.0,5.4
2019-10-20,8.9,0.0,1.2
2019-10-21,13.0,0.3,7.0
2019-10-22,11.9,3.6,7.6
2019-10-23,15.1,6.9,9.3
2019-10-24,11.0,0.0,8.4
2019-10-25,12.3,0.0,2.8
2019-10-26,12.0,0.3,5.9
2019-10-27,10.5,36.3,10.3
2019-10-28,11.9,1.5,9.2
2019-10-29,12.8,0.0,2.7
2019-10-30,15.7,3.6,3.3
2019-10-31,20.0,5.6,19.0
2019-11-01,14.4,3.0,25.6
2019-11-02,4.6,0.0,2.4
2019-11-03,5.4,0.0,6.1
