date,temperature,precipitation,wind_speed
2019-09-09,30.6,0.0,6.8
2019-09-10,30.7,0.0,10.8
2019-09-11,30.1,0.5,11.2
2019-09-12,29.9,0.0,9.4
2019-09-13,31.2,0.0,9.4
2019-09-14,29.8,0.0,10.8
2019-09-15,29.2,0.0,13.3
2019-09-16,29.5,0.0,13.3
2019-09-17,29.4,0.0,9.4
2019-09-18,29.0,0.0,5.8
2019-09-19,28.6,0.0,9.4
2019-09-20,29.2,0.0,19.4
2019-09-21,27.5,4.3,13.0
2019-09-22,27.5,0.0,11.2
2019-09-23,27.9,0.0,8.3
2019-09-24,27.6,0.0,7.2
2019-09-25,27.6,0.0,5.4
2019-09-26,27.7,0.0,6.1
2019-09-27,28.3,0.0,11.5
2019-09-28,29.6,0.0,15.5
2019-09-29,29.2,0.0,15.5
2019-09-30,28.9,0.0,10.8
2019-10-01,29.3,0.0,7.9
2019-10-02,30.0,0.0,8.6
2019-10-03,29.3,0.0,6.1
2019-10-04,29.6,0.0,6.1
2019-10-05,28.9,0.0,7.9
2019-10-06,27.9,2.8,10.8
2019-10-07,28.3,0.0,13.0
2019-10-08,25.9,0.0,10.4
2019-10-09,27.3,0.0,11.5
2019-10-10,28.1,49.3,15.1
2019-10-11,27.0,1.3,12.2
2019-10-12,22.3,0.0,16.9
2019-10-13,23.0,0.0,9.0
2019-10-14,25.1,0.5,11.5
2019-10-15,26.9,0.0,10.1
2019-10-16,25.0,7.4,12.6
2019-10-17,19.7,0.0,15.5
2019-10-18,19.9,0.0,17.3
2019-10-19,21.5,0.0,9.7
2019-10-20,24.1,0.0,8.6
2019-10-21,24.7,20.6,15.8
2019-10-22,22.2,0.0,13.0
2019-10-23,18.6,0.0,10.1
2019-10-24,18.9,0.0,11.5
2019-10-25,21.3,158.5,9.4
2019-10-26,21.3,27.7,22.3
2019-10-27,16.4,0.0,7.2
2019-10-28,18.6,0.0,7.9
2019-10-29,21.2,21.6,18.0
2019-10-30,24.5,7.4,10.8
2019-10-31,18.4,19.6,26.3
2019-11-01,9.9,0.0,12.2
2019-11-02,13.6,0.0,13.7
2019-11-03,15.1,0.0,10.4
2019-11-04,14.7,0.0,5.0
2019-11-05,17.3,0.0,7.2
2019-11-06,20.2,0.0,11.5
2019-11-07,23.1,0.5,8.3
2019-11-08,17.4,0.0,20.2
2019-11-09,11.7,0.0,8.3
2019-11-10,13.5,0.0,7.2
2019-11-11,19.3,0.3,9.4
2019-11-12,12.6,0.0,27.0
2019-11-13,4.1,0.0,11.2
2019-11-14,10.7,1.3,11.9
2019-11-15,11.2,0.0,17.3
2019-11-16,10.9,0.0,10.8
2019-11-17,10.9,0.0,4.0
2019-11-18,11.7,0.0,5.0
2019-11-19,15.2,0.0,4.7
2019-11-20,15.5,0.0,9.7
2019-11-21,18.2,0.0,10.8
2019-11-22,21.7,0.0,12.6
2019-11-23,20.3,4.3,14.0
2019-11-24,13.0,0.0,6.1
2019-11-25,12.5,0.0,7.9
2019-11-26,19.9,0.5,19.8
2019-11-27,22.6,0.5,15.1
2019-11-28,18.1,0.0,11.5
2019-11-29,18.6,0.0,6.1
2019-11-30,20.8,0.0,15.5
2019-12-01,21.8,0.0,17.6
2019-12-02,12.5,0.0,18.4
2019-12-03,10.3,0.0,7.9
2019-12-04,12.7,0.0,5.0
2019-12-05,14.2,0.0,8.6
2019-12-06,19.6,1.3,12.2
2019-12-07,17.8,0.0,13.0
2019-12-08,16.8,0.0,5.4
2019-12-09,19.6,0.0,13.3
2019-12-10,20.3,6.1,19.8
2019-12-11,10.6,14.0,23.0
2019-12-12,11.1,0.0,13.7
2019-12-13,12.4,0.3,6.1
2019-12-14,13.3,0.0,7.2
2019-12-15,17.6,0.0,15.1
2019-12-16,21.6,0.0,15.1
2019-12-17,14.0,22.6,27.0
2019-12-18,7.3,0.0,17.3
2019-12-19,9.6,0.0,8.3
2019-12-20,8.4,0.0,7.9
2019-12-21,12.8,23.4,13.0
2019-12-22,12.2,2.0,17.6
2019-12-23,12.9,0.0,18.4
2019-12-24,15.4,0.0,8.6
2019-12-25,15.9,0.0,5.8
2019-12-26,18.4,0.3,10.1
2019-12-27,19.1,1.8,16.9
2019-12-28,21.5,0.0,13.7
2019-12-29,21.9,0.3,15.8
2019-12-30,14.9,0.0,13.0
2019-12-31,12.6,0.0,7.9
2020-01-01,13.1,0.5,9.4
2020-01-02,20.1,8.9,19.8
2020-01-03,18.6,47.0,11.2
2020-01-04,15.7,0.0,14.8
2020-01-05,12.1,0.0,8.3
2020-01-06,14.9,0.0,9.7
2020-01-07,16.1,0.0,14.0
2020-01-08,12.6,0.0,11.2
2020-01-09,16.3,0.0,19.8
2020-01-10,21.8,4.3,24.1
2020-01-11,22.3,15.2,18.4
2020-01-12,13.7,1.3,9.4
2020-01-13,17.2,6.1,5.8
2020-01-14,21.9,0.0,9.4
2020-01-15,22.9,0.0,7.6
2020-01-16,21.8,0.0,9.4
2020-01-17,19.1,0.0,18.4
2020-01-18,22.3,1.5,13.7
2020-01-19,16.2,0.0,26.6
2020-01-20,9.3,0.0,20.9
2020-01-21,7.0,0.0,16.9
2020-01-22,7.7,0.0,14.0
2020-01-23,13.0,8.6,13.3
2020-01-24,14.6,0.0,14.4
2020-01-25,11.8,0.0,6.8
2020-01-26,12.4,14.5,12.2
2020-01-27,13.3,0.0,8.6
2020-01-28,12.4,0.0,12.2
2020-01-29,15.4,2.3,14.8
2020-01-30,12.8,0.0,12.2
2020-01-31,13.5,1.8,14.8
2020-02-01,12.1,0.0,13.0
2020-02-02,13.4,0.0,10.4
2020-02-03,16.3,0.0,13.7
2020-02-04,19.9,0.3,15.1
2020-02-05,21.4,23.1,19.1
2020-02-06,17.0,9.1,24.8
2020-02-07,8.9,0.0,10.4
2020-02-08,15.2,0.0,10.8
2020-02-09,17.2,0.0,24.1
2020-02-10,21.4,0.3,20.5
2020-02-11,23.9,0.0,9.7
2020-02-12,23.1,4.1,19.8
2020-02-13,18.2,4.8,21.6
2020-02-14,10.9,0.0,19.1
2020-02-15,13.9,0.0,16.9
2020-02-16,16.2,26.7,12.6
2020-02-17,16.2,0.0,10.4
2020-02-18,21.6,0.0,9.4
2020-02-19,21.5,0.0,12.2
2020-02-20,15.7,31.5,24.1
2020-02-21,9.2,0.0,21.6
2020-02-22,10.6,0.0,9.7
2020-02-23,13.5,0.0,11.5
2020-02-24,17.9,0.3,14.0
2020-02-25,19.0,0.0,5.0
2020-02-26,14.6,0.0,20.5
2020-02-27,9.5,0.0,13.3
2020-02-28,10.7,0.0,13.0
2020-02-29,13.8,0.0,8.3
2020-03-01,15.6,0.0,16.9
2020-03-02,21.0,0.3,17.6
2020-03-03,22.4,0.8,9.7
2020-03-04,24.3,2.8,20.2
2020-03-05,16.7,0.5,17.3
2020-03-06,16.9,0.0,16.6
2020-03-07,15.1,0.0,14.8
2020-03-08,16.4,0.0,16.9
2020-03-09,19.7,0.0,21.2
2020-03-10,20.9,19.8,11.5
2020-03-11,21.6,0.0,9.7
2020-03-12,21.7,0.0,11.2
2020-03-13,23.1,0.0,9.4
2020-03-14,23.2,0.0,14.8
2020-03-15,23.2,0.0,7.6
2020-03-16,22.6,0.0,9.0
2020-03-17,23.7,0.3,7.6
2020-03-18,23.3,0.0,13.7
2020-03-19,25.2,0.0,19.4
2020-03-20,25.5,1.5,14.4
2020-03-21,22.8,0.8,14.0
2020-03-22,21.5,0.0,13.0
2020-03-23,24.7,0.0,12.2
2020-03-24,25.1,0.0,14.0
2020-03-25,25.4,0.0,7.6
2020-03-26,25.0,0.0,11.9
2020-03-27,25.8,0.0,15.8
2020-03-28,26.8,0.0,18.4
2020-03-29,25.8,0.0,13.7
2020-03-30,25.5,0.0,15.5
2020-03-31,25.1,0.3,23.8
2020-04-01,18.5,0.0,10.4
2020-04-02,19.2,0.0,11.2
2020-04-03,21.8,0.0,9.4
2020-04-04,22.0,1.3,7.9
2020-04-05,21.5,0.3,10.8
2020-04-06,22.7,0.0,13.7
2020-04-07,24.9,0.0,12.2
2020-04-08,26.7,0.0,13.0
2020-04-09,26.7,1.3,12.2
2020-04-10,23.4,0.0,16.2
2020-04-11,21.4,0.0,18.7
2020-04-12,25.8,5.6,27.0
2020-04-13,23.6,0.0,13.0
2020-04-14,18.4,0.0,18.0
2020-04-15,17.1,0.0,19.4
2020-04-16,19.1,0.0,17.6
2020-04-17,21.4,0.0,11.2
2020-04-18,23.8,60.5,9.0
2020-04-19,25.6,14.5,22.7
2020-04-20,23.6,0.0,11.5
2020-04-21,23.4,0.0,5.4
2020-04-22,24.2,0.0,22.0
2020-04-23,25.9,2.5,16.2
2020-04-24,23.8,0.0,10.1
2020-04-25,24.3,0.8,12.6
2020-04-26,23.3,0.0,13.7
2020-04-27,23.0,0.0,13.7
2020-04-28,22.3,30.7,15.5
2020-04-29,20.7,20.1,16.6
2020-04-30,21.0,0.0,10.8
2020-05-01,21.2,0.0,6.1
2020-05-02,22.6,0.0,9.0
2020-05-03,23.8,0.0,9.7
2020-05-04,24.4,0.0,9.4
2020-05-05,25.2,0.0,7.9
2020-05-06,26.1,0.0,16.6
2020-05-07,22.9,0.0,14.0
2020-05-08,22.7,22.4,15.5
2020-05-09,19.1,0.0,18.4
2020-05-10,21.3,0.0,10.8
2020-05-11,23.4,0.0,10.4
2020-05-12,23.7,0.0,19.1
2020-05-13,25.8,1.8,19.1
2020-05-14,25.9,120.9,22.3
2020-05-15,24.7,14.5,15.5
2020-05-16,26.1,0.0,22.7
2020-05-17,27.6,2.3,19.1
2020-05-18,25.3,0.0,16.2
2020-05-19,26.2,0.0,14.0
2020-05-20,26.7,0.0,10.4
2020-05-21,27.4,0.0,11.5
2020-05-22,28.6,0.0,14.4
2020-05-23,29.0,5.8,15.5
2020-05-24,27.5,0.0,15.5
2020-05-25,28.1,10.9,22.3
2020-05-26,26.6,10.9,6.8
2020-05-27,27.2,0.0,7.6
2020-05-28,26.8,0.3,8.3
2020-05-29,27.3,0.0,7.2
2020-05-30,27.9,22.6,6.8
2020-05-31,27.7,0.0,9.4
2020-06-01,28.4,0.0,9.0
2020-06-02,28.0,0.0,8.6
2020-06-03,27.8,0.0,7.2
2020-06-04,27.5,1.0,8.3
2020-06-05,28.8,0.0,11.5
2020-06-06,28.7,6.1,20.5
2020-06-07,26.7,42.9,24.5
2020-06-08,26.9,19.6,21.2
2020-06-09,29.4,0.3,17.6
2020-06-10,29.3,69.9,10.4
2020-06-11,27.8,0.0,16.2
2020-06-12,28.3,0.0,18.0
2020-06-13,29.0,0.0,12.2
2020-06-14,29.1,0.0,9.7
2020-06-15,29.4,0.0,7.6
2020-06-16,29.4,0.0,11.2
2020-06-17,28.8,0.0,7.9
2020-06-18,28.9,0.0,8.6
2020-06-19,29.1,0.0,5.4
2020-06-20,29.0,0.0,7.9
2020-06-21,28.1,2.8,6.8
2020-06-22,27.1,18.0,11.2
2020-06-23,28.3,24.9,10.1
2020-06-24,25.9,51.1,12.2
2020-06-25,27.8,0.0,10.8
2020-06-26,29.1,0.0,10.4
2020-06-27,30.1,0.0,10.8
2020-06-28,30.3,0.0,10.1
2020-06-29,30.3,15.7,10.4
2020-06-30,30.6,5.8,9.4
2020-07-01,30.8,0.0,10.8
2020-07-02,30.2,11.4,9.0
2020-07-03,27.5,15.7,10.8
2020-07-04,27.4,0.0,7.6
2020-07-05,27.8,0.0,6.1
2020-07-06,25.8,53.8,6.1
2020-07-07,26.9,10.2,7.6
2020-07-08,29.4,0.0,11.5
2020-07-09,30.8,0.0,10.8
2020-07-10,30.8,0.0,10.1
2020-07-11,31.9,0.0,10.4
2020-07-12,32.9,0.0,11.5
2020-07-13,31.9,5.1,12.6
2020-07-14,29.8,0.0,6.8
2020-07-15,29.5,42.7,8.6
2020-07-16,26.6,50.5,4.7
2020-07-17,28.9,0.0,9.4
2020-07-18,30.4,0.0,10.4
2020-07-19,30.0,1.8,11.9
2020-07-20,30.2,0.3,14.4
2020-07-21,30.4,13.7,14.8
2020-07-22,30.9,0.0,14.8
2020-07-23,29.6,4.3,19.1
2020-07-24,28.5,13.5,15.8
2020-07-25,28.2,0.3,18.0
2020-07-26,27.1,34.0,11.2
2020-07-27,27.0,42.4,9.0
2020-07-28,27.6,84.6,9.4
2020-07-29,28.4,2.3,9.7
2020-07-30,30.2,0.0,10.4
2020-07-31,30.2,0.0,11.9
2020-08-01,30.2,0.0,11.2
2020-08-02,29.1,8.1,4.7
2020-08-03,29.4,0.0,8.3
2020-08-04,30.1,0.0,9.0
2020-08-05,29.7,0.0,6.1
2020-08-06,29.2,0.0,7.2
2020-08-07,29.1,0.0,7.2
2020-08-08,28.4,3.6,4.7
2020-08-09,27.7,0.5,6.5
2020-08-10,28.6,0.0,6.1
2020-08-11,29.5,36.3,7.6
2020-08-12,28.1,0.3,7.2
2020-08-13,27.6,32.3,6.1
2020-08-14,28.1,5.3,7.9
2020-08-15,28.3,5.3,9.7
2020-08-16,28.6,1.8,8.6
2020-08-17,28.2,0.0,7.6
2020-08-18,30.1,0.0,8.6
2020-08-19,29.3,0.0,8.6
2020-08-20,28.0,0.0,9.0
2020-08-21,27.8,0.0,7.9
2020-08-22,28.7,0.0,10.8
2020-08-23,28.1,8.1,13.7
2020-08-24,28.1,0.0,18.7
2020-08-25,29.3,1.5,22.3
2020-08-26,30.0,0.5,33.5
2020-08-27,28.4,24.9,24.1
2020-08-28,28.1,22.6,14.0
2020-08-29,27.9,4.8,5.4
2020-08-30,27.4,3.3,9.4
2020-08-31,28.6,0.3,10.1
2020-09-01,29.8,0.0,13.7
2020-09-02,29.5,0.0,11.2
2020-09-03,29.2,0.0,7.9
2020-09-04,29.5,0.0,6.1
2020-09-05,29.8,0.0,9.4
2020-09-06,29.7,0.0,9.4
2020-09-07,27.7,0.0,9.4
2020-09-08,27.7,1.8,8.3
2020-09-09,28.4,0.3,9.7
2020-09-10,28.7,0.0,10.1
2020-09-11,29.0,0.0,10.8
2020-09-12,27.2,6.4,9.4
2020-09-13,28.4,0.0,15.1
2020-09-14,28.7,0.0,21.6
2020-09-15,27.9,0.0,27.4
2020-09-16,27.7,0.0,19.4
2020-09-17,26.3,0.0,10.8
2020-09-18,26.2,0.0,13.3
2020-09-19,23.3,30.5,22.7
2020-09-20,22.3,0.5,28.4
2020-09-21,21.6,3.8,23.0
2020-09-22,22.9,0.3,21.6
2020-09-23,25.4,0.8,20.5
2020-09-24,24.9,0.0,13.7
2020-09-25,23.7,0.0,7.6
2020-09-26,24.7,1.0,9.7
2020-09-27,26.2,0.0,6.1
2020-09-28,27.1,0.0,15.5
2020-09-29,22.2,0.0,15.8
2020-09-30,20.6,0.0,2.5
2020-10-01,21.8,0.0,10.1
2020-10-02,23.4,0.0,12.2
2020-10-03,21.0,0.0,10.1
2020-10-04,19.8,0.0,10.1
2020-10-05,22.4,0.0,9.4
2020-10-06,22.8,0.0,11.9
2020-10-07,26.2,0.0,12.2
2020-10-08,27.4,2.8,16.9
2020-10-09,27.6,13.0,36.4
2020-10-10,26.8,0.0,20.9
2020-10-11,25.5,0.0,13.0
2020-10-12,26.8,0.0,11.5
2020-10-13,26.0,0.0,11.2
2020-10-14,24.1,0.0,6.8
2020-10-15,24.3,0.0,7.6
2020-10-16,21.9,0.0,15.5
2020-10-17,19.9,0.0,16.2
2020-10-18,22.3,0.0,10.8
2020-10-19,24.6,0.0,9.7
2020-10-20,24.9,0.0,11.9
2020-10-21,25.6,0.0,13.0
2020-10-22,25.9,0.0,16.2
2020-10-23,25.3,28.2,9.4
2020-10-24,23.9,0.0,13.7
2020-10-25,18.7,0.0,9.0
2020-10-26,22.6,0.0,10.1
2020-10-27,24.4,0.5,12.6
2020-10-28,26.1,74.4,29.2
2020-10-29,20.2,0.0,23.8
2020-10-30,14.0,0.0,15.5
2020-10-31,16.2,0.0,5.8
2020-11-01,17.9,0.0,16.2
2020-11-02,16.5,0.0,18.4
2020-11-03,15.7,0.0,5.8
2020-11-04,15.5,0.0,7.6
2020-11-05,17.4,0.0,7.6
2020-11-06,20.6,0.0,13.3
2020-11-07,21.6,9.1,11.5
2020-11-08,22.3,0.5,16.9
2020-11-09,23.1,0.0,11.2
2020-11-10,23.6,0.3,8.6
2020-11-11,23.9,0.0,8.6
2020-11-12,22.6,0.0,8.6
2020-11-13,20.8,0.0,6.1
2020-11-14,20.6,0.0,11.2
2020-11-15,22.8,0.0,15.5
2020-11-16,17.8,0.0,15.5
2020-11-17,17.5,0.0,13.7
2020-11-18,17.4,0.0,14.0
2020-11-19,17.3,0.0,15.1
2020-11-20,20.3,0.0,13.3
2020-11-21,19.8,0.0,10.1
2020-11-22,19.6,0.0,5.8
2020-11-23,17.2,0.0,13.0
2020-11-24,17.6,0.0,13.3
2020-11-25,22.7,93.5,14.4
2020-11-26,20.7,1.8,7.2
2020-11-27,22.9,9.1,9.7
2020-11-28,19.7,0.8,10.8
2020-11-29,18.3,47.2,20.9
2020-11-30,11.9,0.0,24.1
2020-12-01,8.4,0.0,6.5
2020-12-02,9.6,0.0,14.8
2020-12-03,18.2,11.2,15.8
2020-12-04,14.3,0.0,16.6
2020-12-05,11.6,0.0,9.4
2020-12-06,11.6,4.1,6.1
2020-12-07,11.1,0.0,12.6
2020-12-08,11.6,0.0,7.6
2020-12-09,14.8,0.0,10.1
2020-12-10,16.4,0.0,5.4
2020-12-11,17.8,0.0,9.7
2020-12-12,20.5,6.1,10.4
2020-12-13,18.7,2.8,16.6
2020-12-14,13.6,0.0,20.2
2020-12-15,10.1,0.0,12.6
2020-12-16,11.6,8.4,19.1
2020-12-17,6.8,0.0,9.4
2020-12-18,8.2,0.0,11.5
2020-12-19,13.8,20.8,18.4
2020-12-20,15.3,0.3,11.2
2020-12-21,12.7,0.0,5.4
2020-12-22,13.6,0.0,6.1
2020-12-23,15.8,0.5,13.0
2020-12-24,14.3,42.4,25.6
2020-12-25,7.2,0.0,14.8
2020-12-26,7.6,0.0,5.0
2020-12-27,10.9,0.0,9.4
2020-12-28,15.3,0.0,7.9
2020-12-29,15.6,0.0,13.7
2020-12-30,19.4,0.0,20.5
2020-12-31,20.9,6.6,22.3
2021-01-01,18.6,0.0,14.8
2021-01-02,11.9,0.0,13.0
2021-01-03,9.5,0.0,6.8
2021-01-04,12.1,0.0,7.6
2021-01-05,15.1,0.0,6.8
2021-01-06,12.9,0.0,15.5
2021-01-07,13.6,20.3,24.8
2021-01-08,9.1,0.0,20.5
2021-01-09,7.2,0.0,14.4
2021-01-10,6.2,2.0,15.8
2021-01-11,6.4,10.4,19.1
2021-01-12,4.9,0.0,9.4
2021-01-13,7.8,0.0,5.8
2021-01-14,11.3,0.0,13.7
2021-01-15,13.9,0.0,18.4
2021-01-16,9.1,0.0,9.7
2021-01-17,8.9,0.0,7.9
2021-01-18,10.9,0.0,6.5
2021-01-19,13.8,0.0,11.9
2021-01-20,15.3,0.0,7.2
2021-01-21,17.7,0.0,12.2
2021-01-22,19.0,15.0,7.9
