date,temperature,precipitation,wind_speed
2019-09-15,23.3,0.0,5.7
2019-09-16,22.3,0.0,4.3
2019-09-17,20.5,0.0,9.7
2019-09-18,17.2,0.0,10.9
2019-09-19,15.9,0.0,7.3
2019-09-20,18.6,0.0,5.9
2019-09-21,21.6,0.0,3.9
2019-09-22,23.1,0.0,8.0
2019-09-23,26.7,1.3,14.3
2019-09-24,21.5,0.0,14.5
2019-09-25,19.8,0.0,8.3
2019-09-26,19.7,0.0,8.4
2019-09-27,18.8,0.0,6.4
2019-09-28,22.4,0.0,9.1
2019-09-29,22.9,0.0,11.3
2019-09-30,18.2,0.0,10.8
2019-10-01,22.4,0.0,14.5
2019-10-02,26.3,14.7,14.2
2019-10-03,13.5,12.4,10.5
2019-10-04,15.1,0.0,14.5
2019-10-05,11.4,0.0,10.0
2019-10-06,17.8,0.0,11.4
2019-10-07,22.0,7.4,17.4
2019-10-08,15.9,0.8,9.6
2019-10-09,13.5,6.6,13.6
2019-10-10,16.4,0.0,17.2
2019-10-11,15.8,0.0,17.3
2019-10-12,16.3,0.0,7.7
2019-10-13,15.4,0.0,8.2
2019-10-14,18.2,0.0,7.6
2019-10-15,14.1,0.0,6.7
2019-10-16,15.0,54.1,12.7
2019-10-17,12.5,0.0,26.8
2019-10-18,11.6,0.0,20.2
2019-10-19,10.2,0.0,3.9
2019-10-20,10.4,16.8,5.3
2019-10-21,14.4,0.0,9.3
2019-10-22,14.0,13.0,9.4
2019-10-23,16.2,0.3,13.3
2019-10-24,13.2,0.0,8.4
2019-10-25,13.4,0.0,4.9
2019-10-26,14.5,0.3,6.4
2019-10-27,15.7,35.1,12.5
2019-10-28,14.8,0.3,6.3
2019-10-29,14.2,4.1,7.7
2019-10-30,16.1,3.8,6.6
2019-10-31,19.9,15.0,19.0
2019-11-01,11.5,0.5,23.0
2019-11-02,7.3,0.0,5.3
2019-11-03,7.7,0.0,8.2
2019-11-04,8.4,0.0,8.0
2019-11-05,11.1,0.0,5.8
2019-11-06,9.2,0.0,8.4
2019-11-07,8.6,2.0,11.4
2019-11-08,1.6,0.0,20.1
2019-11-09,0.2,0.0,6.3
2019-11-10,5.6,0.0,8.0
2019-11-11,10.5,0.0,4.2
2019-11-12,4.1,0.8,20.0
2019-11-13,-2.6,0.0,16.9
2019-11-14,1.4,0.0,7.7
2019-11-15,5.1,0.0,8.2
2019-11-16,2.3,0.0,14.9
2019-11-17,2.1,0.0,14.6
2019-11-18,4.1,8.9,11.4
2019-11-19,6.6,5.1,8.1
2019-11-20,6.1,0.0,13.7
2019-11-21,7.6,0.0,8.5
2019-11-22,8.4,1.8,16.7
2019-11-23,4.2,0.6,9.3
2019-11-24,5.0,18.0,15.2
2019-11-25,7.4,0.0,9.8
2019-11-26,8.9,0.0,6.4
2019-11-27,10.6,0.3,9.0
2019-11-28,7.9,0.0,27.3
2019-11-29,1.0,0.0,16.4
2019-11-30,1.6,0.0,10.1
2019-12-01,-0.5,17.5,13.0
2019-12-02,1.1,8.1,16.6
2019-12-03,0.5,0.3,18.2
2019-12-04,1.9,0.0,8.2
2019-12-05,3.3,0.0,16.2
2019-12-06,5.0,0.0,15.6
2019-12-07,1.4,0.0,14.6
2019-12-08,0.8,0.0,6.9
2019-12-09,8.0,37.8,9.1
2019-12-10,12.5,2.5,15.6
2019-12-11,1.6,4.1,13.0
2019-12-12,-0.5,0.0,9.6
2019-12-13,3.8,19.6,6.7
2019-12-14,10.5,18.3,13.2
