date,temperature,precipitation,wind_speed
2019-09-08,22.3,0.0,8.3
2019-09-09,23.7,0.0,6.5
2019-09-10,23.0,0.0,9.7
2019-09-11,24.9,1.5,15.1
2019-09-12,26.6,1.3,16.9
2019-09-13,19.6,0.0,18.7
2019-09-14,20.4,2.0,13.0
2019-09-15,24.3,1.5,8.3
2019-09-16,24.0,0.0,6.8
2019-09-17,22.8,0.0,11.9
2019-09-18,19.4,0.0,10.8
2019-09-19,16.7,0.0,9.4
2019-09-20,18.1,0.0,11.9
2019-09-21,21.3,0.0,8.6
2019-09-22,23.6,0.0,8.3
2019-09-23,25.8,6.1,18.4
2019-09-24,23.6,0.0,14.8
2019-09-25,20.8,0.0,8.6
2019-09-26,21.5,0.3,12.6
2019-09-27,20.3,0.0,7.9
2019-09-28,22.2,4.1,10.8
2019-09-29,24.3,0.0,11.5
2019-09-30,20.3,0.0,12.2
2019-10-01,21.8,0.0,13.3
2019-10-02,26.1,0.0,17.6
2019-10-03,20.2,1.3,15.8
2019-10-04,17.7,1.0,22.3
2019-10-05,11.9,0.0,16.9
2019-10-06,17.1,0.0,14.8
2019-10-07,23.1,0.0,20.5
2019-10-08,17.0,0.5,20.5
2019-10-09,14.3,2.5,21.2
2019-10-10,15.6,0.0,18.7
2019-10-11,16.5,0.0,17.6
2019-10-12,15.7,0.0,10.8
2019-10-13,15.6,0.3,9.7
2019-10-14,17.4,0.0,10.4
2019-10-15,15.5,0.0,7.6
2019-10-16,14.6,29.0,18.0
2019-10-17,12.9,0.0,33.5
2019-10-18,12.2,0.0,16.6
2019-10-19,11.2,0.0,7.9
2019-10-20,11.7,13.0,15.5
2019-10-21,14.4,0.0,13.3
2019-10-22,15.7,16.3,12.2
2019-10-23,16.1,0.0,15.1
2019-10-24,13.3,0.0,8.3
2019-10-25,13.9,0.0,5.8
2019-10-26,15.3,0.0,10.1
2019-10-27,17.3,16.3,20.9
2019-10-28,16.1,0.0,11.2
2019-10-29,14.2,0.3,5.4
2019-10-30,16.0,3.0,4.7
2019-10-31,19.7,15.0,24.1
2019-11-01,12.3,1.5,23.4
2019-11-02,7.2,0.0,11.2
2019-11-03,8.1,0.0,13.7
2019-11-04,8.4,0.0,9.0
2019-11-05,11.2,0.0,9.4
2019-11-06,11.1,0.0,13.0
2019-11-07,10.4,2.0,17.3
2019-11-08,4.7,0.0,20.2
2019-11-09,1.2,0.0,7.6
2019-11-10,5.9,0.0,11.2
2019-11-11,10.4,0.0,6.5
2019-11-12,8.6,2.5,22.0
2019-11-13,-1.7,0.0,17.6
2019-11-14,1.2,0.0,11.5
2019-11-15,5.2,0.0,9.4
2019-11-16,4.8,0.0,23.4
2019-11-17,2.7,0.0,25.6
2019-11-18,4.8,0.0,14.0
2019-11-19,6.8,0.0,7.9
2019-11-20,7.6,0.0,19.8
2019-11-21,8.1,0.0,11.5
2019-11-22,9.6,1.0,16.9
2019-11-23,3.8,2.3,10.1
2019-11-24,5.3,20.1,21.6
2019-11-25,6.2,0.0,11.2
2019-11-26,7.9,0.0,6.5
2019-11-27,9.3,0.0,17.3
2019-11-28,10.1,0.0,33.8
2019-11-29,3.6,0.0,18.0
2019-11-30,3.1,0.0,9.7
2019-12-01,3.1,16.5,18.4
2019-12-02,2.9,1.0,20.9
2019-12-03,3.2,0.0,22.3
2019-12-04,3.4,2.0,16.2
2019-12-05,4.1,0.0,22.3
2019-12-06,4.8,0.3,15.5
2019-12-07,4.0,0.0,12.2
2019-12-08,1.1,0.0,7.6
2019-12-09,6.5,33.3,12.6
2019-12-10,12.9,4.3,20.5
2019-12-11,3.7,2.0,17.3
2019-12-12,0.3,0.0,10.8
2019-12-13,2.5,13.0,11.5
2019-12-14,10.2,4.3,19.1
2019-12-15,7.4,0.0,24.5
2019-12-16,2.5,9.7,10.4
2019-12-17,1.9,20.8,15.1
2019-12-18,2.0,0.0,26.6
2019-12-19,-4.1,0.0,19.8
2019-12-20,-2.2,0.0,11.2
2019-12-21,-1.4,0.0,6.1
2019-12-22,0.7,0.0,10.4
2019-12-23,3.6,0.0,10.1
2019-12-24,5.2,0.0,11.9
2019-12-25,2.9,0.0,3.2
2019-12-26,2.9,0.0,6.1
2019-12-27,7.7,0.0,9.4
2019-12-28,7.8,0.0,5.0
2019-12-29,5.4,9.1,7.6
2019-12-30,7.2,16.0,21.6
2019-12-31,5.4,0.0,14.8
2020-01-01,4.8,0.0,14.8
2020-01-02,2.4,0.0,6.5
2020-01-03,7.6,5.3,7.2
2020-01-04,9.5,3.8,11.5
2020-01-05,5.2,0.0,26.3
2020-01-06,4.2,0.0,15.5
2020-01-07,4.0,3.3,10.8
2020-01-08,1.8,0.0,26.3
2020-01-09,-1.3,0.0,10.4
2020-01-10,3.5,0.0,7.9
2020-01-11,13.1,0.0,16.2
2020-01-12,17.7,5.1,25.9
2020-01-13,7.6,0.0,7.9
2020-01-14,5.3,0.8,5.8
2020-01-15,8.0,0.0,9.7
2020-01-16,7.9,0.0,28.4
2020-01-17,0.1,0.0,25.6
2020-01-18,-3.8,6.4,14.8
2020-01-19,3.4,0.8,23.0
2020-01-20,-2.3,0.0,21.6
2020-01-21,-3.2,0.0,15.5
2020-01-22,-1.2,0.0,4.7
2020-01-23,0.6,0.0,2.2
2020-01-24,4.7,0.0,11.2
2020-01-25,7.8,40.6,20.2
2020-01-26,5.0,0.0,16.6
2020-01-27,4.4,0.0,19.4
2020-01-28,4.8,0.0,20.2
2020-01-29,3.9,0.0,18.4
2020-01-30,0.1,0.0,11.2
2020-01-31,2.8,1.0,4.7
2020-02-01,4.2,1.3,5.8
2020-02-02,3.9,0.0,13.7
2020-02-03,6.7,0.0,10.8
2020-02-04,10.1,2.5,7.9
2020-02-05,7.9,1.3,15.1
2020-02-06,4.4,11.9,7.2
2020-02-07,8.1,5.8,28.8
2020-02-08,2.9,0.0,16.9
2020-02-09,3.1,0.0,9.7
2020-02-10,6.3,6.6,18.0
2020-02-11,8.4,10.9,10.1
2020-02-12,6.7,1.5,11.9
2020-02-13,5.3,5.6,11.5
2020-02-14,2.8,0.0,23.0
2020-02-15,-5.1,0.0,11.2
2020-02-16,1.8,0.0,10.1
2020-02-17,6.5,0.0,8.3
2020-02-18,7.4,0.0,11.9
2020-02-19,9.4,0.0,19.8
2020-02-20,2.1,0.0,14.0
2020-02-21,-1.7,0.0,15.5
2020-02-22,2.2,0.0,18.4
2020-02-23,5.4,0.0,10.1
2020-02-24,6.6,0.0,5.8
2020-02-25,9.0,4.3,7.6
2020-02-26,8.8,5.3,11.5
2020-02-27,5.9,5.3,37.4
2020-02-28,1.8,0.0,25.6
2020-02-29,0.7,0.0,21.6
2020-03-01,1.3,0.0,18.0
2020-03-02,7.3,1.0,15.8
2020-03-03,11.2,3.0,11.5
2020-03-04,10.7,0.0,23.4
2020-03-05,9.2,0.0,13.3
2020-03-06,4.9,8.9,14.8
2020-03-07,4.4,0.0,24.8
2020-03-08,6.2,0.0,15.5
2020-03-09,11.7,0.0,16.2
2020-03-10,14.5,0.0,20.5
2020-03-11,12.4,0.0,10.8
2020-03-12,9.2,0.0,11.2
2020-03-13,13.9,9.4,21.2
2020-03-14,11.7,0.0,18.4
2020-03-15,8.7,0.3,9.7
2020-03-16,6.4,0.0,18.0
2020-03-17,7.5,0.8,11.2
2020-03-18,10.1,2.0,11.9
2020-03-19,8.8,23.6,9.4
2020-03-20,15.2,0.0,16.9
2020-03-21,13.6,0.0,18.4
2020-03-22,5.6,0.0,20.5
2020-03-23,5.1,20.3,19.8
2020-03-24,7.9,0.0,10.8
2020-03-25,7.4,0.3,21.2
2020-03-26,7.7,0.0,12.2
2020-03-27,13.3,0.0,10.8
2020-03-28,10.9,29.0,14.4
2020-03-29,9.6,0.0,13.7
2020-03-30,10.5,1.5,7.9
2020-03-31,7.9,0.0,14.4
2020-04-01,7.6,0.0,20.5
2020-04-02,9.3,0.0,31.7
2020-04-03,11.2,0.0,30.2
2020-04-04,10.7,0.0,12.2
2020-04-05,12.4,0.0,12.2
2020-04-06,14.3,0.0,14.0
2020-04-07,13.7,0.0,10.1
2020-04-08,16.5,6.9,15.8
2020-04-09,12.2,1.3,23.0
2020-04-10,7.8,0.0,37.1
2020-04-11,7.8,0.0,19.4
2020-04-12,11.8,1.8,14.0
2020-04-13,16.8,41.1,28.1
2020-04-14,12.5,0.0,15.5
2020-04-15,8.4,0.8,18.0
2020-04-16,7.7,0.0,21.2
2020-04-17,6.7,0.0,11.2
2020-04-18,8.4,1.5,15.8
2020-04-19,8.8,0.0,17.6
2020-04-20,12.4,0.0,13.0
2020-04-21,11.4,2.5,22.7
2020-04-22,7.2,0.0,25.2
2020-04-23,9.0,11.7,11.9
2020-04-24,8.4,15.0,14.8
2020-04-25,12.2,0.5,7.9
2020-04-26,9.9,3.3,16.9
2020-04-27,8.3,0.3,21.2
2020-04-28,10.7,0.0,14.4
2020-04-29,13.9,0.0,20.5
2020-04-30,16.6,8.6,24.1
2020-05-01,15.9,0.3,12.2
2020-05-02,16.8,0.0,16.9
2020-05-03,18.1,3.8,15.1
2020-05-04,19.6,0.3,23.0
2020-05-05,12.2,0.0,11.2
2020-05-06,10.9,2.3,12.2
2020-05-07,11.6,0.0,17.6
2020-05-08,12.1,8.1,15.1
2020-05-09,5.6,0.0,30.2
2020-05-10,9.9,0.0,22.7
2020-05-11,12.0,1.5,23.0
2020-05-12,10.6,0.0,21.6
2020-05-13,12.1,0.0,11.9
2020-05-14,15.2,0.0,12.2
2020-05-15,21.4,1.5,21.2
2020-05-16,23.1,0.0,11.9
2020-05-17,17.1,0.0,14.0
2020-05-18,15.5,0.0,18.4
2020-05-19,15.7,0.0,27.4
2020-05-20,13.3,0.0,22.7
2020-05-21,13.9,0.0,12.2
2020-05-22,16.8,9.7,9.7
2020-05-23,19.9,26.7,11.9
2020-05-24,16.2,0.0,15.5
2020-05-25,17.3,0.0,8.6
2020-05-26,19.8,0.0,6.8
2020-05-27,21.1,0.0,6.1
2020-05-28,22.6,1.8,13.7
2020-05-29,24.6,0.0,16.9
2020-05-30,24.1,0.0,14.8
2020-05-31,19.8,0.0,19.8
2020-06-01,16.8,0.0,15.5
2020-06-02,18.9,0.0,14.4
2020-06-03,23.3,22.6,13.7
2020-06-04,24.8,16.5,8.3
2020-06-05,24.4,8.9,11.2
2020-06-06,25.5,0.0,15.5
2020-06-07,23.4,0.0,18.4
2020-06-08,21.2,0.0,11.9
2020-06-09,24.1,0.0,13.3
2020-06-10,26.4,0.0,16.6
