date,temperature,precipitation,wind_speed
2019-09-15,18.8,0.0,2.5
2019-09-16,22.5,0.0,9.0
2019-09-17,21.7,0.0,11.2
2019-09-18,18.7,0.0,9.7
2019-09-19,17.6,0.0,10.1
2019-09-20,18.7,0.0,2.2
2019-09-21,22.8,0.0,4.7
2019-09-22,24.1,0.0,8.6
2019-09-23,22.2,0.5,13.3
2019-09-24,17.4,0.0,8.6
2019-09-25,17.0,0.0,7.6
2019-09-26,20.1,0.0,10.8
2019-09-27,17.1,0.0,7.2
2019-09-28,22.1,7.9,9.7
2019-09-29,19.9,0.0,7.9
2019-09-30,20.8,34.3,4.7
2019-10-01,24.4,0.0,7.9
2019-10-02,24.7,0.0,9.7
2019-10-03,24.5,12.2,14.4
2019-10-04,16.7,0.0,16.6
2019-10-05,11.4,0.0,17.3
2019-10-06,15.8,8.6,8.3
2019-10-07,14.1,28.4,5.8
2019-10-08,12.9,0.0,9.0
2019-10-09,13.3,0.0,8.6
2019-10-10,14.4,0.0,6.1
2019-10-11,16.1,0.0,9.4
2019-10-12,14.1,0.8,13.0
2019-10-13,8.4,0.0,8.3
2019-10-14,12.1,0.0,11.9
2019-10-15,10.4,0.0,6.1
2019-10-16,11.3,30.5,16.2
2019-10-17,7.4,0.8,23.4
2019-10-18,8.2,0.0,9.4
2019-10-19,7.6,0.0,4.0
2019-10-20,13.0,0.0,2.9
2019-10-21,12.9,0.0,12.6
2019-10-22,15.4,13.2,9.4
2019-10-23,10.4,0.0,13.3
2019-10-24,11.1,0.0,8.3
2019-10-25,10.7,0.0,4.0
2019-10-26,10.4,9.4,12.2
2019-10-27,14.3,13.5,16.6
2019-10-28,11.4,0.0,3.6
2019-10-29,13.8,0.0,9.4
2019-10-30,12.6,15.2,7.6
2019-10-31,16.3,50.0,18.4
2019-11-01,3.2,0.0,13.7
2019-11-02,2.4,0.0,11.2
2019-11-03,5.1,0.0,10.4
2019-11-04,5.7,0.0,10.4
2019-11-05,8.5,3.3,8.3
2019-11-06,3.8,0.0,6.1
2019-11-07,5.8,9.4,12.2
2019-11-08,-1.2,0.0,13.7
2019-11-09,-1.5,0.0,7.6
2019-11-10,5.8,0.0,11.2
2019-11-11,9.6,2.5,10.8
2019-11-12,-0.1,3.3,23.0
2019-11-13,-7.0,0.0,5.8
2019-11-14,-1.1,0.0,9.0
2019-11-15,0.2,0.0,8.3
2019-11-16,1.4,0.0,13.3
2019-11-17,1.4,0.0,11.9
2019-11-18,3.4,0.0,4.7
2019-11-19,2.9,0.0,1.8
2019-11-20,4.3,0.0,9.7
2019-11-21,2.4,0.0,10.8
2019-11-22,8.3,3.8,18.4
2019-11-23,0.3,14.2,6.8
2019-11-24,2.3,1.8,15.5
2019-11-25,5.0,0.0,12.2
2019-11-26,9.3,0.0,7.6
2019-11-27,10.3,3.0,24.1
2019-11-28,3.2,0.0,23.4
2019-11-29,1.6,0.0,9.0
2019-11-30,2.2,0.5,9.0
2019-12-01,5.1,14.5,15.5
2019-12-02,2.2,0.0,16.6
2019-12-03,0.1,1.3,14.8
2019-12-04,0.4,1.5,18.7
2019-12-05,1.4,0.3,16.2
2019-12-06,3.0,0.0,14.4
2019-12-07,-0.8,0.0,4.7
2019-12-08,1.2,0.0,10.1
2019-12-09,9.2,22.4,15.1
2019-12-10,7.8,3.3,19.1
2019-12-11,-3.9,0.3,16.9
2019-12-12,-4.1,0.0,7.2
2019-12-13,0.2,1.0,6.5
2019-12-14,2.9,12.2,15.1
2019-12-15,1.1,0.0,15.1
2019-12-16,-0.7,2.8,10.4
2019-12-17,0.0,7.6,18.4
2019-12-18,-4.4,1.3,23.0
2019-12-19,-8.1,0.0,9.4
2019-12-20,-4.3,0.0,3.2
2019-12-21,-0.6,0.0,3.6
2019-12-22,2.2,0.0,4.0
2019-12-23,3.1,0.0,1.8
2019-12-24,0.4,0.0,3.2
2019-12-25,1.1,0.0,2.9
2019-12-26,6.6,0.0,5.8
2019-12-27,12.7,0.5,10.8
2019-12-28,5.9,0.0,3.6
2019-12-29,7.0,13.2,6.8
2019-12-30,12.1,4.6,19.1
2019-12-31,2.6,2.8,18.4
