date,temperature,precipitation,wind_speed
2021-09-19,14.3,0.0,12.8
2021-09-20,15.9,0.0,6.4
2021-09-21,16.6,0.0,4.0
2021-09-22,16.0,0.3,3.0
2021-09-23,16.1,0.0,6.0
2021-09-24,16.6,0.0,5.2
2021-09-25,18.0,0.0,6.6
2021-09-26,14.4,12.2,13.2
2021-09-27,14.0,8.6,15.0
2021-09-28,13.4,1.3,16.0
2021-09-29,13.3,0.0,10.2
2021-09-30,14.3,8.1,13.4
2021-10-01,13.5,0.0,5.4
2021-10-02,13.5,0.0,5.7
2021-10-03,13.2,0.0,7.5
2021-10-04,13.3,0.0,2.7
2021-10-05,11.6,4.1,12.3
2021-10-06,10.6,1.1,11.2
2021-10-07,10.6,0.0,4.4
2021-10-08,8.9,0.0,4.9
2021-10-09,10.6,1.3,13.2
2021-10-10,10.4,11.7,10.5
2021-10-11,8.0,1.5,4.9
2021-10-12,6.3,2.3,11.3
2021-10-13,9.0,0.5,7.9
2021-10-14,11.1,2.3,13.7
2021-10-15,13.3,0.5,14.1
2021-10-16,14.9,0.0,12.1
2021-10-17,12.1,0.3,6.2
2021-10-18,11.4,0.0,3.4
2021-10-19,11.6,0.0,2.5
2021-10-20,12.6,7.4,10.3
2021-10-21,13.9,13.7,13.1
2021-10-22,11.8,1.5,9.7
2021-10-23,10.7,3.8,7.6
2021-10-24,12.0,8.1,15.5
2021-10-25,12.5,4.1,28.3
2021-10-26,11.0,9.7,17.6
2021-10-27,10.7,3.0,15.6
2021-10-28,12.2,50.5,11.1
2021-10-29,9.3,14.5,2.8
2021-10-30,7.9,0.0,6.6
2021-10-31,7.3,0.0,3.5
2021-11-01,7.3,3.6,3.8
2021-11-02,8.6,5.6,4.9
2021-11-03,11.4,13.2,2.5
2021-11-04,11.6,13.5,13.9
2021-11-05,8.8,2.5,13.4
2021-11-06,7.0,10.4,16.0
2021-11-07,6.3,12.7,17.3
2021-11-08,8.4,0.0,11.1
2021-11-09,8.7,16.0,18.9
2021-11-10,8.4,1.5,8.1
2021-11-11,10.0,32.0,8.1
2021-11-12,13.0,17.3,12.2
2021-11-13,9.1,11.0,3.9
2021-11-14,14.8,22.9,24.7
2021-11-15,12.2,5.1,24.3
2021-11-16,6.2,0.0,7.7
2021-11-17,5.0,0.0,2.6
2021-11-18,6.6,0.0,3.5
2021-11-19,6.8,0.8,6.8
2021-11-20,6.2,0.0,3.8
2021-11-21,4.9,0.0,3.1
2021-11-22,4.9,2.5,13.2
2021-11-23,7.3,12.7,9.7
2021-11-24,5.6,0.5,6.9
2021-11-25,7.3,17.5,10.0
2021-11-26,9.6,0.8,10.2
2021-11-27,10.7,23.1,8.7
2021-11-28,14.1,2.3,18.9
2021-11-29,12.8,0.0,10.9
2021-11-30,12.2,3.0,17.9
2021-12-01,13.2,0.0,20.8
2021-12-02,8.5,2.8,4.9
2021-12-03,4.5,0.0,5.0
2021-12-04,4.3,11.9,4.7
2021-12-05,3.1,0.0,2.8
2021-12-06,5.0,2.5,6.6
2021-12-07,8.1,1.8,6.2
2021-12-08,7.0,0.8,13.5
2021-12-09,4.4,0.0,10.9
2021-12-10,5.8,3.8,17.1
2021-12-11,6.8,12.2,24.5
2021-12-12,4.0,4.3,17.4
2021-12-13,4.1,3.3,9.2
2021-12-14,2.8,3.6,13.5
2021-12-15,4.3,2.0,9.6
2021-12-16,4.5,1.3,6.1
2021-12-17,4.0,4.6,8.4
2021-12-18,5.4,36.7,16.4
2021-12-19,4.9,0.0,5.2
2021-12-20,3.0,6.6,5.0
2021-12-21,3.0,4.8,7.1
2021-12-22,7.9,10.9,16.4
2021-12-23,5.7,4.1,17.6
2021-12-24,4.0,8.4,18.5
2021-12-25,2.4,3.3,18.0
2021-12-26,-3.1,6.6,11.0
2021-12-27,-6.1,0.8,6.5
2021-12-28,-2.8,,4.7
2021-12-29,-2.5,3.3,6.9
2021-12-30,-0.0,,8.7
2021-12-31,-1.9,0.0,5.3
2022-01-01,-2.7,0.0,10.7
2022-01-02,1.3,20.1,10.7
2022-01-03,2.3,12.4,15.2
2022-01-04,3.4,5.6,13.0
2022-01-05,3.1,8.4,4.2
2022-01-06,7.8,50.8,18.0
2022-01-07,6.6,9.7,13.9
2022-01-08,4.5,0.0,8.7
2022-01-09,3.6,0.0,0.7
2022-01-10,4.6,6.9,3.9
2022-01-11,9.7,43.2,10.5
2022-01-12,11.0,3.6,7.8
2022-01-13,8.7,6.1,4.3
2022-01-14,6.5,0.0,3.5
2022-01-15,5.4,0.0,4.1
2022-01-16,5.0,0.0,2.1
2022-01-17,6.7,0.5,9.5
2022-01-18,8.1,0.8,10.6
2022-01-19,8.1,0.3,7.3
2022-01-20,9.7,4.1,15.3
2022-01-21,6.7,0.0,2.7
2022-01-22,4.0,0.0,4.0
2022-01-23,3.3,0.0,3.9
2022-01-24,3.0,0.0,3.9
2022-01-25,3.4,0.0,3.3
2022-01-26,2.2,0.0,5.0
2022-01-27,2.8,0.0,2.7
2022-01-28,2.9,0.0,4.4
2022-01-29,4.9,0.0,7.1
2022-01-30,7.0,7.1,13.3
2022-01-31,5.2,0.0,8.4
2022-02-01,4.2,0.0,6.7
2022-02-02,3.5,0.0,8.7
2022-02-03,7.2,3.6,12.9
2022-02-04,7.2,0.0,16.1
2022-02-05,7.0,0.0,7.2
2022-02-06,5.8,0.0,3.3
2022-02-07,8.0,0.0,13.1
2022-02-08,7.4,0.0,5.6
2022-02-09,8.8,0.0,3.4
2022-02-10,8.1,0.0,5.4
2022-02-11,8.2,0.0,7.2
2022-02-12,6.8,0.0,5.7
2022-02-13,6.1,0.0,5.1
2022-02-14,7.9,2.5,8.9
2022-02-15,7.1,0.0,7.2
2022-02-16,7.6,0.0,5.7
2022-02-17,6.2,0.0,10.7
2022-02-18,7.8,0.0,4.2
2022-02-19,6.8,0.0,15.7
2022-02-20,5.8,9.1,9.6
2022-02-21,3.4,1.5,10.6
2022-02-22,-0.0,0.0,9.8
2022-02-23,-0.9,0.0,5.0
2022-02-24,1.2,0.0,4.7
2022-02-25,1.8,0.0,4.0
2022-02-26,4.4,9.1,5.2
2022-02-27,8.0,31.8,13.2
2022-02-28,10.9,75.4,15.8
2022-03-01,12.1,3.8,11.8
2022-03-02,9.7,6.4,10.4
2022-03-03,7.6,4.1,9.0
2022-03-04,7.2,11.7,7.6
2022-03-05,6.7,0.0,2.9
2022-03-06,5.0,0.0,1.8
2022-03-07,4.9,0.0,8.1
2022-03-08,6.7,2.0,6.0
2022-03-09,5.2,0.0,6.5
2022-03-10,4.0,0.0,3.4
2022-03-11,7.2,0.0,3.6
2022-03-12,8.4,0.5,7.1
2022-03-13,8.8,2.5,8.4
2022-03-14,7.9,15.0,12.6
2022-03-15,8.7,5.6,15.0
2022-03-16,8.4,0.0,11.7
2022-03-17,8.2,0.5,8.9
2022-03-18,9.5,5.3,9.6
2022-03-19,7.2,7.9,10.6
2022-03-20,6.2,5.3,12.9
2022-03-21,7.6,10.4,8.2
2022-03-22,12.6,0.0,7.5
2022-03-23,10.5,2.3,9.3
2022-03-24,7.9,0.0,6.0
2022-03-25,10.3,0.0,4.3
2022-03-26,11.5,0.3,3.4
2022-03-27,12.0,0.0,4.4
2022-03-28,10.9,0.0,5.4
2022-03-29,10.5,0.0,6.2
2022-03-30,8.9,0.0,12.3
2022-03-31,8.4,0.3,7.5
2022-04-01,8.4,1.3,10.9
2022-04-02,9.4,0.0,11.4
2022-04-03,9.1,5.8,17.5
2022-04-04,7.6,14.0,23.3
2022-04-05,7.5,0.3,14.5
2022-04-06,8.8,0.0,5.6
2022-04-07,14.6,0.0,4.5
2022-04-08,10.0,1.5,20.2
2022-04-09,6.1,5.8,12.6
2022-04-10,5.1,1.3,11.8
2022-04-11,6.9,0.0,12.9
2022-04-12,4.9,0.3,15.5
2022-04-13,4.2,0.0,4.4
2022-04-14,4.4,3.3,9.2
2022-04-15,6.3,0.0,9.9
2022-04-16,5.8,0.3,8.0
2022-04-17,8.3,0.0,9.4
2022-04-18,8.5,5.8,10.0
2022-04-19,8.2,3.6,12.5
