date,temperature,precipitation,wind_speed
2021-09-26,17.6,0.0,10.7
2021-09-27,18.2,0.0,11.0
2021-09-28,18.4,0.0,19.8
2021-09-29,18.1,0.0,9.7
2021-09-30,20.7,0.0,6.6
2021-10-01,21.6,0.0,7.4
2021-10-02,22.1,0.0,5.8
2021-10-03,22.9,0.0,5.8
2021-10-04,22.4,0.0,6.4
2021-10-05,17.8,0.0,10.4
2021-10-06,16.7,0.0,8.4
2021-10-07,15.3,0.0,10.4
2021-10-08,15.2,0.0,12.9
2021-10-09,16.3,0.0,10.8
2021-10-10,16.9,0.0,9.9
2021-10-11,15.6,0.0,25.3
2021-10-12,15.7,0.0,19.4
2021-10-13,13.4,0.0,9.2
2021-10-14,16.0,0.0,7.0
2021-10-15,18.1,0.0,4.3
2021-10-16,20.0,0.0,5.9
2021-10-17,17.4,4.3,15.2
2021-10-18,13.3,0.3,8.4
2021-10-19,14.3,0.0,10.6
2021-10-20,17.5,12.4,13.4
2021-10-21,19.9,1.0,14.0
2021-10-22,16.5,9.1,11.5
2021-10-23,16.1,0.0,9.0
2021-10-24,16.2,57.2,23.6
2021-10-25,15.1,22.2,12.2
2021-10-26,14.4,0.0,5.9
2021-10-27,17.0,0.0,8.1
2021-10-28,18.6,0.0,5.3
2021-10-29,18.0,0.0,7.7
2021-10-30,16.7,0.0,9.1
2021-10-31,14.7,0.0,8.1
2021-11-01,16.4,0.9,12.2
2021-11-02,17.4,0.0,6.7
2021-11-03,17.2,0.0,3.7
2021-11-04,16.7,0.9,10.0
2021-11-05,14.3,0.0,7.7
2021-11-06,14.3,0.0,8.1
2021-11-07,12.6,0.0,10.1
2021-11-08,13.3,8.0,10.7
2021-11-09,15.2,3.1,18.3
2021-11-10,16.5,0.0,9.2
2021-11-11,15.7,0.0,4.9
2021-11-12,15.6,0.0,5.0
2021-11-13,15.5,0.0,4.4
2021-11-14,15.3,0.0,4.2
2021-11-15,13.8,0.0,3.6
2021-11-16,14.2,0.0,7.1
2021-11-17,13.3,0.0,5.3
2021-11-18,12.8,0.5,6.5
2021-11-19,15.0,0.0,9.7
2021-11-20,15.4,0.0,9.0
2021-11-21,13.1,0.0,3.3
2021-11-22,12.9,0.0,4.9
2021-11-23,12.2,0.0,8.3
2021-11-24,13.0,0.0,10.7
2021-11-25,11.6,0.0,4.4
2021-11-26,12.2,0.0,5.2
2021-11-27,13.5,0.0,3.3
2021-11-28,14.0,0.0,3.8
2021-11-29,13.9,0.0,4.3
2021-11-30,13.7,0.0,4.2
2021-12-01,14.3,0.0,3.1
2021-12-02,13.2,0.0,3.7
2021-12-03,12.0,0.0,5.8
2021-12-04,12.4,0.0,6.1
2021-12-05,12.0,0.0,6.3
2021-12-06,11.2,1.2,4.5
2021-12-07,12.0,1.0,3.1
2021-12-08,11.5,0.8,7.7
2021-12-09,11.2,2.5,9.1
2021-12-10,8.4,0.0,6.0
2021-12-11,8.1,0.0,6.0
2021-12-12,10.5,17.5,20.0
2021-12-13,11.6,29.5,24.5
2021-12-14,7.8,9.4,11.8
2021-12-15,9.0,0.0,19.8
2021-12-16,10.5,10.9,11.7
2021-12-17,8.0,0.0,5.6
2021-12-18,6.4,0.0,3.1
2021-12-19,6.7,0.0,4.9
2021-12-20,8.5,0.0,7.7
2021-12-21,8.1,3.6,4.7
2021-12-22,12.9,8.3,10.0
2021-12-23,13.9,14.2,13.3
2021-12-24,11.4,5.9,11.7
2021-12-25,9.3,13.5,15.5
2021-12-26,8.1,6.1,10.8
2021-12-27,8.4,12.5,11.4
2021-12-28,7.7,4.4,9.5
2021-12-29,9.6,14.3,14.3
2021-12-30,8.5,0.0,6.7
2021-12-31,7.8,0.0,10.5
2022-01-01,6.3,0.0,3.8
2022-01-02,6.7,0.0,5.0
2022-01-03,10.4,0.0,14.9
2022-01-04,12.5,1.0,7.4
2022-01-05,13.1,0.0,6.5
2022-01-06,13.2,0.0,6.3
2022-01-07,12.0,0.8,9.2
2022-01-08,10.6,0.0,5.2
2022-01-09,9.3,0.0,3.6
2022-01-10,11.2,0.0,4.5
2022-01-11,10.8,0.0,3.2
2022-01-12,11.3,0.0,3.5
2022-01-13,11.4,0.0,4.9
2022-01-14,11.6,0.0,6.0
2022-01-15,11.5,0.0,2.5
2022-01-16,13.4,0.0,3.7
