date,temperature,precipitation,wind_speed
2019-09-08,28.8,0.0,5.8
2019-09-09,29.6,1.5,7.2
2019-09-10,29.8,0.0,10.8
2019-09-11,29.6,0.0,10.8
2019-09-12,29.2,0.0,12.6
2019-09-13,28.8,0.0,13.7
2019-09-14,28.4,1.3,14.8
2019-09-15,27.9,13.0,9.0
2019-09-16,28.2,0.0,11.2
2019-09-17,29.2,0.0,7.9
2019-09-18,28.4,10.2,6.5
2019-09-19,26.8,0.0,13.7
2019-09-20,26.2,0.0,14.8
2019-09-21,26.7,0.0,12.6
2019-09-22,26.9,0.0,12.6
2019-09-23,26.6,0.0,10.1
2019-09-24,27.2,0.0,8.3
2019-09-25,27.5,0.0,6.8
2019-09-26,27.3,0.0,8.3
2019-09-27,28.3,0.0,9.0
2019-09-28,28.7,0.0,9.4
2019-09-29,28.3,0.0,9.7
2019-09-30,28.6,0.3,12.2
2019-10-01,28.1,0.0,14.8
2019-10-02,27.7,0.0,12.2
2019-10-03,27.8,0.0,9.4
2019-10-04,27.6,0.0,8.3
2019-10-05,28.3,3.6,9.4
2019-10-06,26.3,8.6,11.2
2019-10-07,26.4,31.5,15.1
2019-10-08,25.6,23.9,8.6
2019-10-09,25.6,0.0,9.7
2019-10-10,26.2,1.5,11.9
2019-10-11,26.3,0.0,10.1
2019-10-12,25.9,0.0,9.7
2019-10-13,26.0,0.0,8.6
2019-10-14,26.8,0.0,7.9
2019-10-15,26.8,0.0,9.4
2019-10-16,27.4,10.7,13.7
2019-10-17,25.9,0.0,8.3
2019-10-18,23.4,29.0,9.4
2019-10-19,25.2,55.9,21.6
2019-10-20,27.3,0.0,10.8
2019-10-21,25.6,6.1,9.0
2019-10-22,27.8,0.0,10.8
2019-10-23,24.6,0.0,13.7
2019-10-24,26.1,0.0,11.2
2019-10-25,27.5,3.3,11.5
2019-10-26,26.5,0.5,13.7
2019-10-27,27.3,0.0,9.4
2019-10-28,27.9,1.3,6.1
2019-10-29,27.7,0.5,8.6
2019-10-30,26.9,0.0,8.3
2019-10-31,27.9,0.0,11.2
2019-11-01,25.4,0.0,13.0
2019-11-02,23.5,0.0,13.0
2019-11-03,22.1,0.0,12.2
2019-11-04,24.4,0.0,9.4
2019-11-05,26.1,0.0,9.0
2019-11-06,25.5,0.0,9.4
2019-11-07,25.4,0.0,10.1
2019-11-08,25.2,0.0,10.4
2019-11-09,20.8,3.0,15.1
2019-11-10,19.7,0.0,10.4
2019-11-11,21.7,0.0,6.8
2019-11-12,23.3,0.3,10.4
2019-11-13,17.4,0.0,18.0
2019-11-14,19.6,2.0,9.7
2019-11-15,21.2,0.5,12.2
2019-11-16,16.1,0.0,16.9
2019-11-17,11.6,0.0,9.4
2019-11-18,15.4,0.0,5.0
2019-11-19,17.7,0.0,7.2
2019-11-20,17.8,0.0,7.9
2019-11-21,17.4,0.0,7.6
2019-11-22,19.8,0.0,5.8
2019-11-23,20.7,0.0,10.8
2019-11-24,19.8,8.4,12.2
2019-11-25,15.4,0.0,9.0
2019-11-26,16.9,0.0,5.0
2019-11-27,18.6,0.0,3.2
2019-11-28,21.6,0.0,6.5
2019-11-29,19.8,0.0,7.9
2019-11-30,20.4,0.0,6.8
2019-12-01,21.8,0.0,14.8
2019-12-02,19.3,1.5,19.4
2019-12-03,11.3,0.0,9.0
2019-12-04,14.6,0.0,8.6
2019-12-05,15.3,0.0,6.5
2019-12-06,15.6,0.0,5.4
2019-12-07,16.8,0.0,5.8
2019-12-08,20.6,0.0,8.6
2019-12-09,21.9,0.0,7.9
2019-12-10,22.1,0.0,9.4
2019-12-11,23.4,0.0,10.1
2019-12-12,20.6,0.0,14.4
2019-12-13,21.5,0.0,9.0
2019-12-14,21.1,5.6,14.8
2019-12-15,17.3,0.0,9.4
2019-12-16,21.6,0.0,9.0
2019-12-17,23.5,17.3,13.7
2019-12-18,16.6,0.0,15.1
2019-12-19,12.5,0.0,18.0
2019-12-20,16.9,0.0,14.8
2019-12-21,20.2,4.3,12.6
2019-12-22,20.2,20.3,16.2
2019-12-23,19.0,55.1,12.2
2019-12-24,15.9,0.0,18.7
2019-12-25,19.8,0.0,14.8
2019-12-26,21.3,0.0,13.0
2019-12-27,22.2,0.0,19.8
2019-12-28,23.0,8.1,16.2
2019-12-29,23.6,1.8,12.2
2019-12-30,23.2,0.0,12.2
2019-12-31,18.7,0.0,12.2
2020-01-01,16.9,0.0,8.6
2020-01-02,20.3,0.0,12.6
2020-01-03,23.1,0.0,16.9
2020-01-04,22.3,26.4,19.8
2020-01-05,15.1,0.0,16.6
2020-01-06,14.4,0.0,11.5
2020-01-07,15.3,0.0,7.2
2020-01-08,15.7,0.0,11.9
2020-01-09,17.1,0.0,15.8
2020-01-10,22.4,0.0,21.2
2020-01-11,24.1,0.0,18.7
2020-01-12,23.6,0.0,8.3
2020-01-13,24.4,0.0,9.4
2020-01-14,23.6,0.0,10.4
2020-01-15,23.4,0.0,7.2
2020-01-16,22.4,0.0,7.9
2020-01-17,21.9,0.0,15.5
2020-01-18,20.6,0.0,10.1
2020-01-19,20.9,0.0,12.6
2020-01-20,14.4,0.0,18.0
2020-01-21,9.4,0.0,24.8
2020-01-22,8.0,0.0,20.9
2020-01-23,14.4,0.0,15.5
2020-01-24,18.9,0.0,7.9
2020-01-25,17.6,0.0,11.5
2020-01-26,13.4,0.0,9.0
2020-01-27,15.8,0.0,7.9
2020-01-28,16.7,0.0,12.6
2020-01-29,15.3,0.0,7.6
2020-01-30,15.8,0.0,10.4
2020-01-31,17.2,1.0,7.2
2020-02-01,17.4,10.7,13.7
2020-02-02,13.3,0.0,11.2
2020-02-03,14.7,0.0,5.8
2020-02-04,16.9,0.0,5.4
2020-02-05,20.4,0.0,10.1
2020-02-06,23.1,17.5,25.2
2020-02-07,18.4,2.5,19.4
2020-02-08,14.1,0.0,10.1
2020-02-09,18.1,0.0,14.8
2020-02-10,21.3,0.0,11.5
2020-02-11,23.6,0.0,13.7
2020-02-12,24.2,0.0,12.6
2020-02-13,23.5,0.0,14.0
2020-02-14,22.8,2.5,13.7
2020-02-15,18.9,0.0,13.7
2020-02-16,21.4,0.0,10.4
2020-02-17,22.7,0.0,8.3
2020-02-18,23.8,0.0,7.6
2020-02-19,24.3,0.5,9.0
2020-02-20,23.8,0.0,12.6
2020-02-21,16.4,0.3,22.7
2020-02-22,11.7,0.0,15.8
2020-02-23,16.6,0.0,10.8
2020-02-24,20.0,0.0,11.9
2020-02-25,21.8,2.8,16.6
2020-02-26,20.6,8.9,12.2
2020-02-27,14.1,0.5,16.6
2020-02-28,11.4,0.0,11.9
2020-02-29,14.9,0.3,15.8
2020-03-01,14.7,0.0,5.8
2020-03-02,18.4,0.0,12.6
2020-03-03,21.3,0.0,14.0
2020-03-04,22.4,0.0,14.4
2020-03-05,23.9,0.0,18.0
2020-03-06,20.6,0.0,20.5
2020-03-07,15.4,0.0,16.2
