date,temperature,precipitation,wind_speed
2021-09-12,23.7,0.0,9.4
2021-09-13,25.2,0.0,5.0
2021-09-14,25.5,0.8,6.8
2021-09-15,24.4,7.1,7.2
2021-09-16,24.3,0.0,7.9
2021-09-17,23.4,9.1,6.5
2021-09-18,23.0,16.3,7.2
2021-09-19,22.5,20.3,7.2
2021-09-20,22.6,39.9,9.7
2021-09-21,22.9,14.0,6.1
2021-09-22,19.6,4.8,15.5
2021-09-23,15.7,0.0,7.9
2021-09-24,16.1,0.0,4.0
2021-09-25,17.6,0.0,6.5
2021-09-26,19.3,0.0,4.0
2021-09-27,20.5,0.0,9.0
2021-09-28,22.2,0.0,4.7
2021-09-29,23.4,0.0,3.2
2021-09-30,23.7,0.0,3.6
2021-10-01,25.1,0.0,6.5
2021-10-02,22.8,8.9,10.4
2021-10-03,22.2,26.7,9.7
2021-10-04,22.0,0.0,2.5
2021-10-05,20.2,15.0,7.6
2021-10-06,21.2,16.8,11.9
2021-10-07,21.3,0.0,4.7
2021-10-08,21.3,0.0,4.0
2021-10-09,22.4,0.0,6.5
2021-10-10,23.6,0.0,10.8
2021-10-11,23.2,0.0,20.2
2021-10-12,23.8,0.5,6.5
2021-10-13,22.2,0.0,8.6
2021-10-14,23.8,0.0,7.9
2021-10-15,22.9,5.6,9.7
2021-10-16,17.5,0.5,17.3
2021-10-17,13.3,0.0,5.4
2021-10-18,13.3,0.0,4.7
2021-10-19,14.7,0.0,4.7
2021-10-20,16.2,0.0,7.6
2021-10-21,20.5,1.5,12.2
2021-10-22,14.0,0.0,5.4
2021-10-23,14.0,0.0,6.1
2021-10-24,19.3,0.0,18.4
2021-10-25,18.4,28.4,17.6
2021-10-26,13.1,0.0,9.7
2021-10-27,12.1,0.0,9.0
2021-10-28,15.3,5.3,14.8
2021-10-29,13.2,7.4,8.3
2021-10-30,12.8,2.8,14.0
2021-10-31,14.2,0.0,10.1
2021-11-01,11.9,0.0,9.4
2021-11-02,9.6,0.0,13.7
2021-11-03,6.9,0.0,11.5
2021-11-04,6.3,0.0,7.9
2021-11-05,6.7,0.0,4.0
2021-11-06,7.9,0.0,2.2
2021-11-07,9.0,0.0,3.6
2021-11-08,10.9,0.0,4.7
2021-11-09,12.9,0.0,5.4
2021-11-10,14.1,0.0,7.6
2021-11-11,15.1,13.0,13.3
2021-11-12,11.4,0.0,14.4
2021-11-13,6.8,0.0,7.2
2021-11-14,6.2,0.0,12.6
2021-11-15,6.8,0.0,6.8
2021-11-16,12.1,0.0,10.4
2021-11-17,17.2,0.0,19.4
2021-11-18,12.7,5.8,13.3
2021-11-19,4.1,0.0,7.6
2021-11-20,6.3,0.0,10.8
2021-11-21,11.3,7.6,11.9
2021-11-22,8.3,0.0,13.3
2021-11-23,1.9,0.0,4.3
2021-11-24,6.4,0.0,14.8
2021-11-25,10.4,10.9,15.8
2021-11-26,2.7,0.0,9.0
2021-11-27,3.7,0.0,12.2
2021-11-28,8.2,0.0,9.0
2021-11-29,4.6,0.0,6.8
2021-11-30,8.9,0.0,7.2
2021-12-01,10.8,1.0,11.9
2021-12-02,14.2,0.0,10.1
2021-12-03,14.7,0.0,10.8
2021-12-04,15.4,0.0,7.9
2021-12-05,14.7,0.3,18.0
2021-12-06,15.0,33.8,20.9
2021-12-07,2.5,0.0,9.7
2021-12-08,6.3,0.0,6.8
2021-12-09,7.2,0.0,16.9
2021-12-10,15.7,4.1,20.9
2021-12-11,16.9,7.4,23.0
2021-12-12,3.9,0.0,3.6
2021-12-13,5.4,0.0,6.1
2021-12-14,8.5,0.0,5.4
2021-12-15,14.7,0.0,23.0
2021-12-16,16.8,10.2,19.1
2021-12-17,14.0,15.5,8.6
